V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-159.968021,-9.778203,8.741298,-156.719344,-3.834987,-27.566171,63.598186,-34.614751,-21.531003,146.925097,-24.458775,-29.222317,-0.498292999999999,35.371014,-17.638068,6.710602,44.350645,-77.2742,-15.185583,-53.255388,-20.671748,-88.871521,-94.344879,5.07596,-30.719887,9.866471,-28.851058,-12.795401,-7.003942,-60.106496,-18.684995,-123.435876,23.687142,-28.794121,40.802305,47.520208,-52.659802,-3.22214,48.519725,-7.021053,29.603971,31.265057,43.389714,-3.391178,-16.068578,3.549179,-53.062545,-11.321852,-34.021004,72.75276,-46.595976,-60.069961,81.237325,-119.758443,54.996524,-104.412184,11.03102,-3.680443,-37.999998,-135.343625,33.740091,152.974243,5.61127,24.422377,92.341168,56.749805,-0.407522,79.960349,69.530145,-49.569974,-39.625991,1.457974,21.749428,36.419933,-2.576791,-63.88682,55.729212,-40.062331,35.110517,-60.832306,-69.81268,-8.596599,18.706647,18.734737,86.857221,-70.750596,-81.616909,-42.783796,-78.996405,41.466156,21.34337,-68.746924,-37.770171,10.880035,75.887703,12.820252,-32.287932,-105.289036,-41.494198,159.33928,cytoplasmic
-11.096625,-4.473801,2.26072,-7.954201,-2.574998,-2.109077,6.665304,1.605973,-2.141387,12.693381,-4.728988,0.257255,0.140899,5.789844,-1.596613,4.240435,6.994262,-12.100723,-0.226125,-0.833095,-1.917211,0.404362,-2.54994,-4.572039,-1.42355,-0.449623,-3.227679,-0.202806,-0.086072,-2.115391,1.810239,-8.860754,-1.687711,-0.822442,1.408765,3.623491,-0.820645,-1.81758,3.928996,6.627939,0.378149,2.777361,3.836626,-1.082342,0.144283,-1.840384,-2.768849,-2.45616,-3.37409,9.702088,-0.0044460000000001,-2.659114,7.694112,-10.311073,6.284586,-6.87362,0.790979,6.256779,-2.867567,-11.149969,4.102152,12.498982,1.974757,4.456855,3.571508,1.880793,1.668248,1.925504,10.250247,-2.394164,-1.478989,6.887031,3.00541,4.495359,2.316494,-0.734451,6.736703,-2.63852,1.671287,-4.640823,-10.810645,0.868554,3.332212,-6.036719,0.589119,-5.295673,-7.695319,-10.303635,-6.396643,4.342089,2.131425,-1.306565,0.0043070000000001,2.401064,11.002565,0.5414,-1.273829,-7.274491,-2.817489,4.974877,cytoplasmic
-31.296652,-6.252252,9.451866,-24.209969,-5.56032,-3.376751,4.931012,1.374755,1.642234,30.809516,-3.247825,-2.294098,-3.99574,8.771606,-0.234115,4.785169,6.092637,-17.901337,-5.653755,-4.687752,-8.177447,-10.719234,-12.638189,-2.712536,-4.162391,-0.713783,-3.42213,-4.444737,0.399904,-16.459711,-4.9702,-25.779968,-9.329552,-7.218085,5.705709,11.376306,-0.991361,-3.990076,4.57444,8.11044,0.79034,5.793082,3.406597,-0.0398520000000001,2.560939,1.660789,-9.737501,-0.214082,-7.289173,12.326264,-2.242611,-8.712443,13.068236,-18.965153,12.874844,-20.661275,3.361023,3.157825,-8.638789,-30.537669,2.836421,31.477884,-0.0146990000000001,9.986995,9.85878,11.545713,9.995873,13.231962,10.609472,-10.350414,-3.391929,7.345404,3.393278,4.994849,11.533561,-10.50257,15.547827,-4.990843,5.211795,-12.25006,-13.630582,-3.654802,4.766664,1.838069,18.386513,-14.940119,-20.451784,-10.057287,-22.866601,3.756798,12.528882,-11.931943,2.663813,7.524934,20.084532,3.183749,-10.472694,-11.334613,-9.072299,18.682313,cytoplasmic
-58.631457,-10.817628,9.291773,-54.684388,-6.440603,-10.199746,21.334049,-9.982776,-7.746874,51.007127,-10.323137,-7.029312,-1.31676,9.451873,-4.221803,2.945457,8.61503,-29.611397,-3.520501,-12.542612,-6.687567,-27.83121,-27.324067,-7.306578,-12.031047,-2.518613,-3.07691,-3.270747,0.066499,-20.954191,-2.833778,-37.257766,1.962107,-9.568951,5.305638,13.523696,-16.510109,-8.943973,7.605305,4.925681,8.817815,10.870334,14.521989,-10.583762,-4.141828,8.046725,-11.626014,-4.622223,-6.255444,23.001759,-9.077488,-18.416164,28.363953,-34.457541,23.167462,-44.937929,8.66612,5.56045,-8.774049,-50.90372,8.298699,50.47727,-1.507222,13.527032,21.903145,21.365609,4.923286,30.733105,24.472075,-21.954252,-9.439262,9.428753,-0.873935,9.043709,8.9211,-22.647694,25.617224,-6.452192,11.641391,-19.316677,-28.288451,3.06107,1.772287,7.020446,30.044812,-23.107807,-30.478718,-14.018592,-31.610138,15.819483,7.200808,-28.296484,-8.036498,7.948461,27.512744,-1.056137,-7.582111,-27.473849,-13.123408,49.424081,cytoplasmic
-32.672426,1.340243,6.635394,-30.331126,-2.005495,-7.911137,15.799809,-8.994595,-2.864652,23.461127,-5.933861,-7.42812,-1.567377,6.056688,-6.236746,-3.986593,6.388967,-16.825343,-3.200259,-8.618076,1.002468,-16.382757,-20.930233,-6.621583,-3.970668,7.212863,-1.095308,3.526055,-1.947804,-11.870959,-5.144017,-21.145502,7.946167,-4.509517,4.242858,12.257018,-7.162079,1.067213,5.848389,-0.973611,5.391665,3.774109,1.41415,-0.608047,-4.665492,1.583132,-3.566624,0.565255,-4.339276,12.233923,-4.372575,-6.502076,21.648261,-20.970613,12.477612,-24.225708,1.222894,-2.697616,-3.094966,-31.152734,5.105133,20.89396,1.051359,7.98449,16.13564,10.290242,-0.52786,17.041828,10.616859,-12.635645,-4.608572,2.555238,4.55954,5.024195,11.918838,-11.722573,13.32712,0.517239,7.774147,-12.147455,-11.528834,-2.403983,-3.757478,8.215451,16.679895,-12.408146,-14.401332,-9.147691,-20.555526,12.178397,-0.314941,-16.248487,-4.547015,0.17071,10.308644,-0.448925,-7.957147,-14.319621,-5.361995,26.583584,cytoplasmic
-30.16184,-15.26676,-18.964332,-67.783107,14.95356,-17.184567,15.149901,-27.102741,-25.760192,37.785453,-0.720618,4.499858,-13.368834,14.991045,-8.800294,17.83905,33.831071,-28.190265,-18.037896,-25.516143,4.481634,-9.577967,-37.566182,-2.396516,-10.155462,7.960242,-25.741713,-19.728266,2.212704,-22.873191,-11.308364,-35.687973,4.783354,-22.505648,12.133425,24.829978,-12.885963,8.754856,-11.668631,-11.026679,15.422056,10.769837,12.015334,-6.856282,-11.223999,9.366198,-14.734167,-2.379917,12.267578,31.326881,-25.644595,-10.446946,41.161004,-37.72185,0.935878,-32.965487,16.877415,-24.554784,-16.233885,-45.579244,-5.143467,37.38664,10.969115,-17.475681,54.913813,16.668532,12.048684,12.620699,25.782772,-17.585274,13.754514,-10.358468,-2.510193,7.540289,19.41622,-23.78025,7.367239,-15.097264,10.748655,-22.850345,-43.991463,-6.741371,8.595203,-1.539461,23.238705,-29.07533,-16.856863,-48.197893,-44.607823,25.498977,-7.229579,2.366604,-20.561685,-10.409295,31.341731,3.402182,-15.022066,-59.541503,4.913989,62.238807,cytoplasmic
-32.077782,2.563,6.400812,-19.515868,-1.845416,-2.287597,11.297307,-7.514866,-8.506038,31.189137,-6.441268,-0.967407,-0.740852,3.53155,-0.550307,-1.852139,3.863633,-16.255931,3.102631,-5.233335,-1.006517,-15.464949,-20.043088,-1.588452,0.426298,7.894405,-5.300498,-0.834523,-7.550201,-11.371767,-4.455969,-30.234678,5.937903,-6.797762,11.529641,4.950968,-9.930159,2.950278,7.099808,2.138965,5.767603,5.943589,6.257576,-2.874534,-0.543853,3.893498,-7.431116,-2.73673,-7.395678,10.336922,-3.5025,-13.445667,15.12578,-22.751185,18.238854,-20.298079,2.836828,1.356774,-3.749347,-30.101076,6.6334,25.692815,7.327424,9.71327,14.13755,9.783451,-1.725481,17.576825,12.826176,-12.207122,-9.488195,-2.415695,2.905411,4.840718,-0.0468550000000001,-13.53502,12.100001,-7.292826,1.720649,-9.534136,-8.897213,3.814643,0.82249,2.758619,16.467965,-7.818763,-18.340116,-4.894036,-13.509982,4.528021,4.488755,-12.436478,-7.109932,2.33752,17.720865,5.064133,-7.747638,-19.71567,-7.947534,32.767041,cytoplasmic
-78.78825,-0.512305,9.733636,-77.354864,9.896068,-16.065195,36.385743,-23.877049,-14.14152,61.621579,-9.625526,-3.909502,-13.395414,20.405291,-13.814529,10.675741,31.232266,-43.463895,-17.452267,-38.631834,3.222315,-33.975365,-46.640648,-9.893826,-20.97143,13.020418,-13.149242,-14.575507,-10.150859,-33.753498,-12.978212,-54.133658,21.685079,-12.70127,24.710539,30.798412,-21.714111,0.238783,11.305589,-12.783486,7.730854,15.094549,14.017504,1.830775,-6.908974,2.844056,-9.879962,-12.589154,-8.991642,33.979294,-12.636111,-25.652214,55.068431,-67.248515,30.119761,-68.213382,12.760181,-3.997929,-21.810708,-83.119263,4.519542,65.405741,16.58509,8.481978,47.056288,9.82783,2.472558,48.540464,29.796442,-41.847008,6.362669,7.747753,-3.295295,10.450776,19.047118,-35.229033,33.844613,-2.901987,14.860914,-29.287817,-37.547753,13.510695,5.0383,17.235586,36.055169,-36.736771,-33.571605,-24.969939,-42.101566,23.257291,-1.088542,-28.025387,-22.36281,0.311919,31.999959,1.667884,-29.164956,-46.895921,-5.251101,70.974354,cytoplasmic
-23.540221,1.829271,3.931137,-24.098006,-1.988261,-2.638492,5.770716,-11.933445,-7.079042,24.024618,1.309267,-10.969542,-2.614933,1.102954,-0.033936,-4.876783,1.930423,-9.87633,0.918095,-7.01281,-0.403796,-13.800771,-20.475865,7.675465,-3.546953,3.429977,-9.352584,-0.124074,1.602287,-5.91948,-3.60942,-20.361825,11.670884,-2.251845,5.696105,4.701708,-11.158839,-0.909004,5.291187,-9.922287,6.025993,7.719513,2.328727,-6.67413,-6.631186,-1.528563,-7.328361,-4.514496,-12.430234,10.0118,-8.68325,-15.049158,12.905774,-16.735003,13.377159,-20.136584,-1.023077,-2.992502,-3.940637,-26.024129,7.356942,26.326836,2.641258,2.561404,18.433804,12.722995,-6.182873,19.378823,4.735137,-10.194166,-13.189239,0.472552,6.2255,8.727392,-0.993127,-13.830215,8.298207,-7.373727,9.589417,-7.695516,-9.385202,-1.662502,-5.210034,2.692979,12.387247,-7.713674,-16.681158,-0.25671,-7.50547,6.050921,1.671739,-18.528193,-3.856603,5.40863,5.417665,12.646401,-7.919947,-17.909362,-10.3915,32.954258,cytoplasmic
-32.499334,-5.142262,11.441175,-30.685507,-4.809768,-4.955096,8.818315,-7.443803,-3.133809,29.378741,1.217713,-5.644732,-4.692054,3.630775,-0.764387,-0.883812,5.633779,-15.339204,-3.48953,-9.93457,-2.941697,-14.598384,-20.351138,-0.1704,-0.269457,-1.198385,-4.865097,0.0813470000000001,-5.993838,-12.687941,0.0317470000000001,-29.059467,9.34203,-5.629206,12.767553,9.733928,-12.33379,0.988212,8.001472,0.588078,2.023212,5.127919,5.400969,-0.234002,-8.185025,1.639539,-11.91466,-3.075271,-8.409557,13.197323,-7.982299,-15.712583,18.564324,-23.769863,14.826308,-25.037586,5.973584,2.927538,-9.406118,-30.27848,7.59891,30.466693,0.053318,4.581562,16.919803,16.692989,0.100251,18.226413,11.508806,-7.887032,-6.646647,8.636097,8.593308,2.211281,-2.601727,-12.587913,13.275846,-5.838435,5.578142,-12.708947,-11.571224,-0.297732,4.600665,-0.373201,17.691336,-14.566082,-17.701256,-1.390039,-12.299737,2.10302,6.010782,-18.574246,-3.238031,4.732257,18.060655,4.369066,-6.149524,-19.346895,-9.106802,32.692917,cytoplasmic
-6.269101,-0.593657,1.795126,-5.77709,-0.892695,-0.451282,3.515585,-2.218708,-0.056215,6.806685,-0.233604,-0.23845,-0.351763,1.213539,-0.797163,0.153435,3.177991,-4.670732,-2.935968,-3.139852,0.662987,-1.718714,-4.7261,-0.484358,-1.95421,0.879814,-2.914449,-0.284894,0.308564,-4.241151,0.195684,-5.864498,1.61711,-1.411511,1.693482,2.889733,-0.938344,-0.689432,-0.637631,0.925952,0.686677,0.917739,0.713313,0.428402,-0.043439,0.961701,-0.141589,0.417019,0.687485,3.327671,-0.693287,-1.178349,3.578797,-6.389849,3.623716,-5.623681,0.308289,-0.454673,-1.334787,-8.722868,0.842439,7.361638,0.428528,1.111305,2.633333,1.307291,1.330698,4.495511,2.661132,-3.797027,1.503905,1.890824,1.579743,-0.281688,3.228404,-3.883069,4.168936,0.240899,-0.320524,-4.174867,-2.926789,-2.233538,2.850179,0.180228,3.87205,-1.97196,-3.945399,-3.216577,-5.282559,2.313125,0.380112,-2.797495,0.555084,-1.384463,5.605146,0.169571,-1.671411,-5.208111,0.0552100000000001,5.738745,cytoplasmic
-24.299324,-4.306064,4.866615,-19.806523,-4.948087,-4.805775,10.168521,-6.530895,3.333135,18.923416,-4.266264,-3.221662,0.0109419999999999,2.850079,2.063993,1.032377,2.365166,-7.767867,-1.964891,-7.651908,-3.106947,-13.925282,-14.267756,3.119018,-4.790936,4.285891,-2.585831,-1.994514,-3.432303,-8.859213,-2.180052,-13.557433,3.323893,-5.636504,4.259275,5.275857,-9.299453,-2.10506,7.458914,-2.976168,4.591445,3.596498,1.380182,0.76691,-5.493954,-0.99648,-5.594295,0.121509,-2.689435,6.905083,-6.401945,-11.352159,12.286465,-18.855123,10.598547,-14.75412,-1.082418,-1.652081,-1.60962,-15.693343,7.873383,22.483245,-1.382454,5.682733,12.956116,10.499282,-1.898979,12.108266,8.092918,-5.174332,-3.803004,-0.0984860000000001,3.293562,8.880066,-2.404294,-6.111975,4.978002,-5.852681,5.099697,-12.294536,-9.712859,-3.927147,0.665385,2.661452,14.926973,-9.751676,-7.584327,-6.131175,-11.624544,-1.205578,8.329241,-13.966221,-4.792467,5.167411,10.397819,5.252952,-2.59894,-18.449587,-6.072101,22.983778,cytoplasmic
-17.988668,0.269438,1.238398,-15.957559,-0.591208,-1.816721,6.122836,-0.068301,-1.798532,15.182603,-3.658036,-1.882648,-2.298791,5.709686,-2.620043,4.004928,4.517254,-11.048397,1.145401,-4.513107,-2.519633,-8.642805,-5.527823,-2.94769,-1.306699,0.643872,-2.765503,0.252398,-1.006217,-4.256559,0.293708,-10.421442,1.092276,-0.443228,4.104717,3.201333,-4.884774,-1.577589,5.987808,2.673084,4.411794,1.799752,2.023964,-0.312342,-1.936105,0.421789,-0.679987,-2.500211,-4.81784,7.533615,-2.199976,-4.681274,10.488312,-12.701039,8.833825,-13.24012,2.055033,1.347809,-3.47412,-16.464394,0.363403,12.480226,2.255642,3.528524,2.889487,5.649776,-0.395374,9.725481,8.604287,-8.890879,-1.984295,4.490016,0.960851,2.943232,4.707636,-6.46103,5.509111,0.569417,2.672222,-7.562305,-6.958198,2.792213,2.5652,0.780459,6.810439,-5.881816,-7.907749,-6.967917,-8.957635,6.631983,-0.8634,-7.621441,-3.614355,2.670652,7.514316,0.136773,-4.603125,-9.971154,-3.970556,13.967207,cytoplasmic
-50.731042,-15.970922,-17.553317,-58.711437,-10.144454,-18.136937,20.792592,-21.352493,-9.156887,46.156718,-9.522535,-1.062657,6.447661,14.499877,8.970441,0.205313,23.28538,-20.339424,-7.311921,-8.415612,-2.293443,-22.842829,-33.39935,8.819603,-15.941242,-3.318722,-8.609777,-9.696208,-6.098852,-13.221488,4.620404,-39.250043,0.0800850000000001,-14.173759,14.279312,15.281885,-24.150384,3.141496,9.118696,-7.948289,15.122711,14.533995,16.399779,-4.691235,-14.168268,3.930096,-21.625537,3.004762,-10.03955,26.587947,-18.015213,-18.598532,16.232607,-44.331619,10.863424,-21.514258,10.19996,-6.898743,-11.772724,-47.416538,21.993833,52.897646,0.658386,1.788492,32.326778,16.719045,4.715991,14.539503,26.350516,-6.228994,-18.606197,-5.723073,1.109011,20.94104,-11.174315,-22.818109,15.164104,-29.693365,12.335275,-20.833468,-24.839576,-25.182362,19.697093,-4.699115,26.661099,-21.145214,-28.276121,-24.029407,-24.949053,18.799969,17.057827,-17.927996,-13.291128,11.133559,27.575122,10.201862,-11.287764,-49.99342,-15.216132,55.245613,cytoplasmic
