V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-39.576531,-5.457694,11.229886,-35.604611,-5.062937,-9.562899,14.799048,-9.096152,-0.450393,33.734792,1.182596,-12.308766,-0.650642,-1.889596,3.466506,-2.069757,-0.210547,-14.994818,-0.168473,-8.01396,-5.135097,-22.67146,-29.40387,1.91607,-10.407274,9.692666,-4.80522,2.465386,-7.944009,-13.488016,-1.133568,-19.52167,10.868582,-8.803595,4.86785,12.434498,-12.250074,-6.056161,8.660104,-2.537809,6.772209,5.269278,1.729187,-0.476345,-9.596627,-2.734193,-9.449805,-3.862849,-3.940411,15.853837,-6.071493,-13.954376,23.744628,-23.198772,19.883782,-25.864026,2.065638,3.911662,-1.945765,-36.424205,4.98562,32.721296,-0.373175,10.571299,18.080211,18.568379,1.983451,27.820925,10.430062,-19.608332,-11.970583,2.028792,6.650031,5.429492,1.30483,-14.516345,17.083582,-1.907701,8.804039,-12.46199,-13.712882,-0.669745,-9.858663,-0.326481,23.275438,-9.734792,-19.600894,-0.56024,-20.641619,2.305161,4.827113,-25.629761,-0.99103,3.216018,14.00857,5.201118,-10.576672,-18.335355,-4.667757,36.269702,mitochondrial
-51.49631,-7.905682,4.426075,-48.160877,-13.805043,-10.221499,21.146916,-12.906756,-1.395798,42.805026,-5.293493,-5.132218,0.234223,8.67434,2.031572,1.222662,4.13664,-19.125423,0.65523,-6.581491,-8.806348,-27.657374,-27.790002,1.689037,-8.020473,-2.725303,-6.029361,-3.545398,-10.180962,-18.044944,-0.852191,-30.257632,8.064954,-9.27402,10.366819,18.745028,-18.546055,-3.915706,11.279939,-4.72448,7.499005,8.99754,8.26352,1.976977,-8.239989,2.745639,-17.94185,-0.380864,-12.709736,19.423814,-16.335986,-20.8842,25.951089,-36.527149,15.275567,-29.077441,4.569539,-0.465921,-7.753345,-43.328776,10.140799,45.529103,1.659833,17.992385,29.001293,16.963451,7.310064,29.043285,16.909263,-13.664413,-15.623301,2.718607,3.520054,7.2541,-3.228133,-18.274139,11.760825,-15.52756,10.345512,-21.061524,-20.782679,-2.469829,8.073317,0.79824,30.68156,-20.246445,-24.167847,-0.16722,-22.08189,5.486236,9.426604,-27.835697,-10.162977,7.014495,20.384385,3.175322,-12.654072,-29.350473,-9.976993,48.224633,mitochondrial
-36.828821,-17.481737,-4.543659,-51.78557,9.277325,-10.120937,24.937322,-9.006397,-15.336129,32.520422,-5.63023,-1.089554,-10.165805,11.610372,-8.1719,3.789207,22.273334,-31.628702,-9.63447,-15.3176,7.189664,-17.314751,-31.931714,-9.690471,-9.649985,5.830277,-3.442718,-10.151113,-1.179184,-19.420578,-15.111678,-29.972824,14.385299,-10.731883,8.278943,15.550249,-16.379208,4.736711,6.453678,-2.197104,20.698665,12.997145,7.473431,5.20743,-10.380751,7.953011,-6.244862,-7.08676,5.240397,36.294301,-16.932459,-9.619036,39.060284,-30.303482,9.476682,-37.255571,13.057917,-6.733578,-4.237989,-46.798469,1.995561,37.298022,17.002193,2.767294,31.589836,7.942159,6.7919,29.055992,20.04035,-16.13419,5.252502,2.216887,0.667265,0.876736,24.240099,-18.225474,20.440417,-2.091153,8.253281,-19.294323,-35.109844,1.834241,9.73767,-1.474675,19.237373,-14.741952,-25.72096,-32.502325,-39.513793,21.848154,3.274883,-13.957223,-13.710556,-0.466186,15.313061,-3.924902,-8.556252,-39.555616,-6.362343,44.865116,mitochondrial
-61.231018,-14.687223,-7.38146,-69.261066,3.002545,-12.993352,33.876943,-21.552497,-9.760647,45.375702,-7.778244,2.286512,-3.836168,12.903084,-11.282912,8.167336,22.641498,-34.390228,-18.815686,-15.544422,2.678463,-14.39653,-47.366329,-7.32389,-15.27987,9.158912,-4.89399,-5.839044,-6.332979,-30.179561,-10.880605,-43.549262,4.8688,-20.073332,10.892852,22.61918,-12.460331,2.344231,1.421603,-8.928964,9.775199,19.954348,6.895764,-0.754578,-8.688107,5.793679,-10.063857,-6.424272,4.119734,33.010701,-17.286903,-11.222315,48.190787,-42.283992,12.411969,-45.132892,16.811546,-6.262199,-7.512075,-65.723847,4.651967,54.222319,7.330057,7.590035,46.996084,19.654063,15.183506,35.077373,34.751517,-28.055698,6.806751,5.37575,0.28255,8.797431,29.888215,-20.744581,31.133066,-5.312457,9.784042,-30.159811,-48.769945,-7.136101,5.387624,-0.348113,40.64525,-29.972586,-26.322306,-45.155135,-44.475615,25.361864,11.138855,-9.673498,-6.686735,-3.087378,39.33943,-0.572724,-14.401255,-50.330366,-4.780869,58.715108,mitochondrial
-6.891238,1.393969,-0.0276650000000001,-6.010525,-2.357871,-3.044056,2.990383,-2.040942,0.222878,8.548088,0.237147,-2.597444,0.300596,1.109495,-0.938811,-0.807632,1.802518,-4.873854,2.458148,-0.958648,2.680602,-2.075151,-5.306215,-0.860342,-1.302881,4.635799,-2.467056,-0.605618,-0.430427,-0.634326,-0.21677,-4.975815,4.159592,3.260212,1.267558,1.723463,-0.715592,-1.545867,1.284923,-0.905122,1.445913,1.771897,-0.714783,-1.982282,-1.440394,-1.136424,-1.752896,1.188863,0.00660200000000002,4.398336,-0.993609,-2.27383,2.473136,-8.478453,5.582724,-9.046991,0.810455,-0.656244,-0.68204,-10.402794,0.154513,5.689664,1.416316,0.478467,3.135124,3.495082,-0.196732,5.391221,2.45568,-6.306818,-3.476256,0.784934,0.114863,2.610765,4.099057,-5.214833,2.019977,1.315674,-0.060315,-1.744241,-4.786401,0.179734,0.19488,-0.432177,3.450412,-0.678033,-4.63495,-2.042838,-2.727929,2.123166,-0.482701,-3.921942,-2.068616,1.017343,2.3701,1.289143,-2.302236,-4.649895,-0.528011,7.688558,mitochondrial
-38.455364,-1.298396,-4.387549,-34.524144,1.059368,-2.242433,13.342804,-5.499661,-8.517068,36.672654,-5.823486,-9.780546,-1.284675,11.212226,-0.845313,-3.447759,15.990417,-20.328627,0.778664,-4.164225,6.35283,-23.690111,-12.979663,9.454671,-1.83454,-4.950442,-10.078385,1.762009,-6.52932,-3.07753,3.819306,-27.561696,7.663787,-2.76204,15.445171,5.151574,-15.851359,1.576532,11.909226,-4.392611,5.115911,4.513629,13.820187,-1.481346,0.161966,-3.259856,-9.079871,1.163085,-10.210531,13.425998,-11.644334,-20.445364,11.870109,-33.251248,10.75295,-23.921626,8.759599,-2.395311,-8.951365,-30.524982,16.010795,34.097819,3.02106,11.16105,12.4892,8.685253,-3.47448,10.662937,13.887957,-2.350739,-11.02793,-2.456393,0.101803,4.779387,-7.01781,-16.778852,13.643913,-16.975517,6.468306,-9.261199,-11.954327,4.979567,15.985231,6.34693,14.334825,-15.273087,-19.806559,0.264968,-14.930075,5.586892,1.899594,-13.247256,-15.941616,9.400646,13.873822,7.453559,-7.64482,-30.138475,-10.915091,37.546382,mitochondrial
-29.21549,-4.161462,-5.304005,-29.143581,-3.637063,-10.562283,13.168847,-6.856775,-9.349469,27.436823,-4.296278,-0.986847,-0.205881,7.300403,0.975133,0.0117199999999999,12.698007,-12.031599,0.50493,-13.587062,0.053282,-13.362927,-17.988712,2.029658,-5.867197,1.447226,-5.835444,-2.556905,1.552272,-10.661848,-2.392776,-22.401477,3.675329,-9.242232,9.824447,9.585901,-11.316004,3.456999,3.861296,-0.680076,5.423957,6.681976,7.250611,0.617296,1.284594,2.580476,-9.03346,4.915874,-4.777076,13.572658,-9.628157,-9.290058,17.333604,-21.820549,7.522804,-16.833139,7.70879,-5.317292,-8.693337,-24.825542,0.173159,22.379451,3.066486,2.537922,19.75354,9.848763,2.987967,14.622858,14.026847,-7.668174,-4.942577,-1.726876,1.640522,3.612262,-1.78197,-16.638838,8.472773,-9.016848,2.746388,-12.360148,-15.995398,-5.42017,11.136581,3.635539,12.426209,-16.71209,-10.72317,-10.852326,-13.33511,7.805777,1.154682,-9.851308,-8.699527,-0.780747,13.048605,6.907422,-6.707677,-24.729899,-5.542274,30.214777,mitochondrial
-37.799304,-5.987965,1.202727,-32.582058,-9.475451,-9.681063,9.732615,-7.86691,-6.209476,40.557831,-0.613343,-5.159008,3.98766,8.311128,6.723819,-5.986415,5.92053,-21.830501,5.956326,-1.196614,-4.350611,-20.670767,-15.754594,0.640519,-5.432767,2.220078,2.138777,-3.555671,-10.346105,-6.216452,2.332684,-22.707297,-0.732985,-0.412601,7.652915,2.528302,-18.644526,1.81081,19.60137,2.339144,12.627189,8.395125,7.046941,-4.112237,-11.691532,2.554214,-15.848103,0.1363,-7.742569,7.594496,-8.864556,-18.345918,13.110968,-23.009548,14.358018,-19.670992,3.441583,8.764378,-6.512465,-28.037298,13.504684,33.106431,3.27128,16.789488,18.400196,11.612732,-0.388921,11.961358,20.036198,-5.019349,-19.786518,-5.383701,7.087213,6.201986,-8.577974,-16.387982,11.801351,-19.473895,8.280866,-7.26016,-16.508784,-11.237903,10.113594,6.656,15.479498,-9.930359,-19.354637,-5.31713,-12.018802,12.80979,12.568054,-15.167188,-15.532765,7.666318,13.613118,5.013071,-8.574424,-32.987047,-13.254865,39.506082,mitochondrial
-50.279197,-9.056786,7.3707,-41.614059,2.300634,-8.757928,22.527303,-7.391809,-6.728184,40.851976,-9.416438,-6.222079,-1.955775,10.027741,-1.761036,1.794057,7.198004,-16.681921,-1.949493,-7.882384,-6.122575,-24.03729,-24.719661,-1.961464,-8.589118,-0.905225,1.208005,-3.965863,-7.418217,-11.861414,-4.715583,-30.875064,13.799083,-8.66315,13.132896,12.907304,-21.64332,-2.500178,10.693534,1.083887,6.05116,9.928112,10.159513,1.274744,-1.178052,4.995856,-15.107861,-4.024702,-6.511873,18.062005,-12.238302,-17.678815,23.564762,-36.926379,13.717863,-30.169138,6.156601,0.801303,-8.949604,-39.041482,10.017058,42.616772,1.027705,15.937735,20.721432,11.336429,3.826683,28.910462,16.869231,-19.167486,-4.849551,6.887521,1.290526,6.986814,4.979535,-13.395279,24.302204,-11.140485,7.934739,-15.1698,-15.0003,2.737198,10.425957,5.3776,26.076456,-20.926608,-24.928871,-6.988736,-25.090778,9.643637,14.744374,-29.588888,-9.630785,1.304289,17.265352,-0.268335,-14.980173,-24.186602,-14.9328,38.304964,mitochondrial
-37.433858,-8.483975,2.034715,-37.077131,0.393481,-7.403865,11.32808,-11.210799,-0.298052,28.678575,-3.015767,-5.686617,-4.178047,5.624034,1.094005,-2.067431,4.478287,-5.966938,-7.581056,-10.268142,-4.181133,-20.617942,-20.401091,6.982258,-4.746718,-1.293087,-7.456036,-0.937778,-4.545757,-6.986972,-2.892328,-21.479994,7.995457,-9.098747,5.408925,11.530455,-14.948065,3.367926,10.043972,-4.96053,9.534438,12.012338,9.91658,-1.361784,-4.501148,-0.703432,-14.497698,2.019709,-3.695697,10.593237,-13.590781,-15.491465,15.547875,-23.990102,3.227534,-18.254798,4.183908,-2.521721,-8.35424,-21.606888,11.6287,29.330723,-0.228885,5.089888,18.467916,12.085519,2.317516,15.213698,15.602182,-1.939644,-7.273689,-2.076979,-0.64803,8.666329,-8.762552,-12.261681,8.368496,-16.501607,9.578193,-15.28083,-9.116396,-5.828999,9.995591,-0.193836,22.175664,-20.820779,-12.469028,-1.603428,-13.237157,1.163763,4.136675,-20.440375,-10.635636,7.427479,14.299671,3.502268,-6.404348,-25.482139,-7.778776,31.78074,mitochondrial
