V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-13.840598,-8.567306,-1.075128,-17.111941,-2.976388,-8.441671,4.389203,-0.952687,0.372286,13.103009,-2.693992,3.446512,0.108123,4.17966,1.612648,3.610787,5.069499,-2.435721,-6.554768,-0.646162,0.326281,-3.52235,-10.698114,0.428812,-3.132318,-3.122374,1.48113,-2.04894,1.358165,-6.459765,0.334084,-6.902489,-5.984423,-1.880263,1.544009,4.23406,-6.342635,4.186144,1.398715,-1.03695,6.76892,4.952959,0.0211769999999999,-0.23704,-2.333115,1.347446,-2.167175,0.894217,1.225916,8.596329,-4.745843,-6.020647,3.077605,-10.941897,2.384318,-6.262221,0.0909920000000001,-1.436532,-1.984684,-12.789712,5.045602,15.516419,-0.484417,6.00392,12.997541,5.258757,7.870213,2.869139,11.27573,-1.238419,-1.359975,-0.291048,1.061331,7.155796,-0.420447,-3.938138,6.593553,-3.435543,4.390301,-6.813397,-13.276924,-7.157165,3.450038,-1.067302,5.2756,-11.667961,-5.868208,-11.765268,-9.313373,7.331351,11.765676,0.68887,-4.204426,1.375784,9.632358,0.624874,-0.456267,-18.245609,-1.658059,10.232373,nuclear
-38.581215,-1.144729,-10.239612,-39.999565,-1.344725,-6.220633,19.039758,-8.873942,-13.175922,29.589269,-7.647574,-3.430212,-0.836166,7.604686,-3.41079,4.999757,10.274415,-16.894824,-3.550813,-10.108201,-2.830553,-15.700137,-19.924094,2.386748,-6.210384,0.894119,-11.3999,-4.586279,1.57303,-7.535239,-1.309986,-25.380145,0.248384,-13.124365,11.021126,11.942658,-15.461695,-0.403346,4.629923,-13.937041,8.356807,9.246428,12.555974,-5.785754,-1.180704,-0.422681,-7.716017,0.861724,-8.386981,12.058698,-17.27854,-12.870009,13.449352,-25.967026,10.718452,-25.239649,8.179914,-5.984239,-10.255348,-30.692271,13.005535,35.77859,1.247885,-3.855315,23.536918,14.725892,2.928965,11.513135,18.076672,-8.547953,-8.893402,-0.270219,5.167969,8.253484,-2.506631,-15.95384,11.017926,-18.783085,9.958898,-12.071778,-18.875908,-5.976276,10.370018,2.729248,17.227447,-19.808547,-16.87674,-16.201837,-14.171903,12.138264,2.804787,-11.722565,-8.241193,3.960514,18.449071,3.758475,-9.799893,-37.979301,-8.524743,40.072842,nuclear
-28.845941,-10.178931,-6.257532,-28.202003,-18.881915,-12.290235,14.785301,-0.884317,-4.341188,27.773162,-2.150309,-3.179962,3.542425,7.746099,4.100275,-0.237436,2.803038,-16.057424,2.98968,-3.427115,0.891189,-4.682324,-12.673053,2.039455,-9.611549,3.857785,-2.953302,1.960277,-4.355278,-1.402148,9.937028,-21.97125,-5.741801,-1.663419,0.033627,7.958856,-7.367385,-6.424285,13.621297,1.341407,4.015115,6.341502,9.802774,2.265445,-8.234575,-5.60019,-6.256712,1.620731,-9.556593,21.92751,-0.467947,-17.351685,3.91239,-31.597329,10.981867,-14.481455,4.212083,5.102303,-4.12062,-26.060365,19.59381,31.278924,-2.106094,12.087269,6.725513,7.447489,-7.639418,0.614421,26.609003,0.741843,-8.347403,1.986273,6.689141,8.12107,-4.293522,-8.906952,14.400661,-4.041548,-3.170447,-7.068966,-17.787505,-6.82018,8.171033,-8.966971,12.757843,-7.349911,-8.402708,-16.77364,-4.42281,9.554477,13.688859,-8.062723,-2.321138,12.939931,22.815834,6.550569,-2.607186,-33.923119,-7.123988,24.265114,nuclear
-2.039562,-11.962463,-2.459809,-0.788175,4.027302,3.890598,1.36776,7.826549,-0.947017,8.60028,-5.332397,1.676872,10.566491,3.037664,7.370348,1.96973,1.232016,-0.254733,13.071446,9.774177,7.107971,-5.082595,-0.850628,-0.539519,-7.396864,-3.945136,9.479158,-3.115167,-0.114147,9.497436,1.384202,1.234132,-1.448362,2.240874,6.054321,-9.919174,-6.115163,4.272352,7.324472,2.381925,15.347955,5.618184,-3.506138,7.370883,2.601201,-1.969427,2.157969,1.340143,-3.464012,7.656827,-1.174233,-2.324166,-3.365287,1.859279,7.57879,3.376157,-0.286939,6.551073,-1.367625,-7.417044,11.652231,3.087937,11.319041,11.846088,0.16624,-10.163121,-2.117036,5.349186,13.264129,1.121741,-12.885153,-0.341638,3.291287,-2.84043,-2.311395,-2.748072,1.654326,-8.520493,3.668867,2.91117,-6.518961,0.401957,9.283089,-8.435007,-7.978474,1.190662,-3.749731,-4.283506,-8.07509,13.12141,8.117538,9.892136,-10.841431,-1.506047,-2.589979,-5.496116,1.738034,-13.243358,-4.809505,5.572371,nuclear
-20.047896,-7.900851,-3.223428,-22.734579,-0.761644,-8.613319,5.732426,-5.175527,-7.364497,24.744297,-5.126168,1.737677,-1.776593,5.915443,1.335504,6.186359,11.669785,-6.225702,-6.190305,-3.002916,-4.716354,-5.893682,-12.626366,3.081914,-4.247417,-3.114569,-5.38924,-6.250358,0.751455,-5.879122,-0.303208,-13.981077,-4.299554,-6.94704,2.888709,3.53634,-4.768331,4.012582,0.750666,-1.131422,3.271603,2.955298,7.678633,-0.392772,-0.729862,-0.91207,-13.565493,0.321465,-4.21592,8.896439,-7.051572,-8.079718,9.709798,-13.951228,2.731083,-7.425909,2.219287,0.282369,-3.892183,-17.768013,8.901501,20.767306,0.670443,-0.64362,18.105153,8.704473,2.546251,3.255048,12.19751,0.0326550000000001,-6.410584,-0.348683,3.313125,7.765328,0.00545400000000003,-6.874643,8.849131,-8.73785,3.399797,-8.504499,-12.904096,-4.044947,6.74134,-2.027924,8.889347,-13.870074,-13.034234,-15.726299,-10.326212,6.771528,7.928382,-4.279765,-2.464935,3.515457,19.346751,2.63241,-3.61392,-22.192578,-3.67025,17.463962,nuclear
-24.797886,-4.884415,-9.040571,-24.95757,-2.399631,0.174701,4.858075,-3.79876,-10.643525,26.566394,-2.952459,-2.506298,1.359164,9.351344,5.664442,2.795442,1.946824,-7.265297,0.36748,1.706173,-3.507859,-10.574321,-11.677277,5.795975,-5.532273,-6.99177,-9.768461,-0.811529,-4.778885,-0.0850779999999999,6.126148,-25.10195,-9.395357,-8.02656,7.37522,1.954651,-9.146594,1.346879,10.840112,-1.114205,6.510193,7.521636,11.513574,-4.19372,-3.018575,2.358188,-14.174472,3.974675,-12.048428,7.260902,-10.215693,-14.484616,0.303917,-20.217634,6.45316,-6.679341,2.501885,-5.061176,-6.788075,-14.344546,15.090622,34.452332,-2.02261,1.479212,15.271209,10.802053,3.850572,-3.617007,16.390727,6.42291,-12.454056,-2.721863,5.067568,11.433289,-10.462469,-11.968171,2.318652,-18.239354,3.059586,-8.297471,-10.659332,-9.397539,13.159086,-0.350791,4.710626,-14.047661,-9.741297,-2.623221,-6.631628,8.794773,10.380045,-3.704469,-9.952496,7.523046,16.265328,8.590812,-5.537844,-26.167552,-7.4878,27.860603,nuclear
-22.63757,-3.860501,-7.846811,-28.990913,-3.327089,-12.910252,3.238019,0.327179,-5.77334,24.755698,-2.230717,-2.615402,-0.288938,1.496995,5.432522,2.263395,8.405089,-3.734456,-1.459829,-5.936137,-5.273316,-12.455439,-8.086027,3.572333,-7.9941,-1.24755,-5.144215,-3.149259,-4.224667,1.592143,5.411199,-14.987727,-0.462993,-4.227294,2.694016,6.054555,-12.040027,-2.321171,2.442162,1.105399,3.785913,3.11775,15.678707,1.363967,-4.350203,-2.825668,-19.180637,2.682725,-2.477946,12.383129,-8.533154,-12.634609,3.705145,-18.362033,4.98201,-5.617156,3.037838,-5.060576,-6.824499,-15.656035,4.979298,24.465625,-5.510313,5.831711,10.631079,4.864193,1.592645,5.393693,17.405018,0.425102,-2.342527,-2.013708,1.331745,4.805579,-7.139723,-5.934727,0.791121,-13.889904,2.526687,-16.129132,-14.316246,-10.25077,7.212494,-7.228604,9.352092,-8.041482,-10.976346,-7.00787,-10.323284,2.867261,8.559201,-7.415794,-6.234546,0.821313,8.42473,4.194909,-4.075782,-20.79346,-7.804192,20.767603,nuclear
-31.996792,-7.491745,-7.749373,-31.480873,4.686394,-8.536865,11.778068,-7.888526,-18.063918,28.460097,-2.365011,1.117863,-0.631375,8.685912,-2.617836,3.552253,11.369233,-18.255769,-7.451882,-5.788861,-2.302477,-11.289014,-23.554464,2.04143,-10.786622,1.392768,-12.181459,-2.264018,1.475459,-11.265633,-6.168856,-24.594703,-2.569424,-7.26454,4.81942,5.3964,-12.058073,1.036445,4.719174,-6.956215,6.688401,8.338452,9.312432,-5.105531,-0.387376,4.656193,-9.593643,2.562611,-3.42446,14.835041,-15.396298,-7.696251,12.4997,-24.866281,9.257584,-22.291609,10.800183,-8.676088,-7.044509,-31.486511,6.028418,29.589055,8.239614,1.28978,24.56669,13.419516,-2.797722,8.450326,18.52718,-7.74295,-4.08963,-1.650766,4.006004,7.051143,1.99771,-13.254569,13.270514,-11.332862,2.301175,-9.429584,-23.101581,-3.662821,9.274327,-3.31687,11.642807,-10.343069,-13.795008,-17.026265,-18.333967,19.77326,6.949172,-2.768003,-9.470798,1.870439,25.65145,6.090927,-8.074836,-34.720595,-8.838133,34.558522,nuclear
-34.663563,-6.738832,10.502285,-35.859556,-10.812554,-15.162069,23.24836,-5.45574,2.994293,30.02205,-1.653131,-3.280621,1.980599,10.484369,-2.755739,1.200856,10.190109,-27.597149,-13.217409,-12.808566,1.129706,-8.402933,-25.165937,-7.761615,-13.170486,12.511721,1.612332,-2.212311,0.494534,-20.501169,-2.12788,-27.919464,-2.646088,0.132373,6.397224,15.408391,-6.764253,4.459881,10.681263,-2.573236,6.951186,10.030927,2.340014,-4.70292,-13.454096,-5.43933,-0.127572,-2.366571,1.721957,25.95737,3.759212,-11.226864,24.088005,-37.132563,10.731292,-29.870315,6.698808,3.721377,-2.59072,-46.593568,17.204291,39.393659,-0.763264,9.251125,18.727237,9.824201,9.370868,30.03329,20.042449,-14.608759,0.342318,9.504162,-3.189123,6.274029,15.065455,-8.786618,31.026943,8.41018,5.449272,-13.098113,-27.388941,1.775795,0.311684,-3.485973,25.587365,-9.822057,-9.280326,-26.393194,-26.310781,18.69972,8.724459,-9.454403,-5.488389,10.843009,23.074148,3.222875,-1.97778,-32.354419,-2.518344,28.718242,nuclear
-57.677323,-17.262956,-7.104856,-52.800913,-1.711711,-9.803108,19.824892,-3.516081,-18.124617,67.077283,-0.759051,-0.0938300000000001,-1.150149,18.885302,0.740857,3.293391,24.64435,-45.8418,-4.872815,-10.157896,-7.190301,-21.013281,-31.690793,-7.369347,-9.924098,6.181196,-9.423346,-17.854205,0.49485,-17.794624,-7.144913,-38.331625,-3.146108,-6.223585,11.74237,18.473556,-6.374969,2.395968,9.94767,5.636563,9.488493,12.696249,12.049328,-7.243777,-3.597904,-0.112026,-20.440368,-5.615991,-9.514616,31.789526,-16.309679,-20.532838,22.916765,-46.893577,29.31449,-46.202049,8.48482,6.500664,-15.551686,-57.978323,16.838754,60.420388,19.598294,5.438429,31.251122,16.881943,3.519517,26.703853,34.528844,-14.443479,-11.253077,9.989293,3.154466,18.676432,14.996337,-26.032302,32.410012,-12.719688,11.490855,-22.894577,-38.906766,-3.311956,12.505189,-13.328791,23.34253,-21.849186,-39.98352,-28.616436,-41.635902,28.765493,11.860498,-11.038458,-7.864401,6.709928,39.98081,0.574387,-16.077166,-48.294251,-5.061077,50.271035,nuclear
