V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-18.049636,-2.967966,-3.33298,-26.902863,-0.456518,-6.462465,7.910385,-9.72618,-10.193399,21.518365,-1.756057,-2.296599,-0.647112,3.040333,0.288063,1.618745,10.405745,-7.725373,-6.628507,-10.247125,0.085339,-9.484762,-22.277501,-0.211554,-5.404186,2.049752,-5.453993,0.419277,1.339544,-10.994508,-6.006555,-19.127696,6.849532,-2.929068,10.383994,11.85107,-10.169655,0.515709,4.947656,-7.409142,8.730819,5.758265,5.089238,-3.628277,-3.980091,3.8681,-13.29199,-4.263573,-3.551057,10.430818,-15.925199,-7.971184,14.001992,-20.236156,9.694666,-18.788388,6.124461,-5.76772,-5.495808,-28.213368,2.157102,19.697916,5.819306,-2.901191,16.903156,7.590251,0.663715,18.07999,5.435948,-10.849171,-4.401374,-3.245001,0.959693,0.0598119999999999,3.634136,-18.443156,12.00075,-6.392147,5.029451,-11.488932,-13.943222,-3.484197,1.006455,-0.561092,7.001917,-7.888526,-7.432967,-3.994381,-12.814414,4.806393,3.139185,-8.443351,-4.221478,-0.282191,17.036372,4.535925,-3.26924,-24.596202,-6.898181,26.278511,er
-34.525343,-1.317176,11.996786,-30.311967,-3.761154,-5.975411,16.871581,-5.495815,5.874501,35.5373,-0.490415,-5.104952,-5.954197,10.127793,-10.6732,8.319884,3.887375,-20.590328,-4.156989,-13.963539,-3.105391,-15.916868,-22.302869,1.131781,2.098927,5.542151,-12.210252,0.127927,-1.821321,-16.377376,-7.752436,-26.397224,3.364271,-8.291375,7.213367,13.413871,-9.009656,0.858602,9.964191,1.905283,5.217947,7.226863,7.623913,-0.0768720000000001,-2.392748,-3.428995,-6.17747,-7.582432,-8.233069,17.147334,-1.972597,-20.197789,22.040568,-37.518797,14.548443,-29.712359,2.440834,-0.0638,-7.05287,-39.136436,8.603351,33.564217,9.921584,9.778041,18.845213,15.756907,6.222534,24.114415,11.8533,-17.805096,-0.427598,9.659709,4.611634,13.233871,3.869266,-11.63666,18.363232,3.512486,3.276052,-11.84101,-19.58127,-3.809181,-3.045925,2.923115,19.57435,-16.289384,-13.043508,-7.699367,-21.276354,1.915025,4.348758,-21.423737,-0.0759130000000001,4.075835,22.270993,5.646379,-10.990232,-25.084873,-4.184746,32.687276,er
-23.086027,-2.77137,9.143445,-16.96794,2.355409,-4.754073,5.391231,-4.679499,0.427188,16.310892,-1.191373,-2.72441,-3.055504,9.110071,-1.017492,-2.333687,5.924515,-12.406392,-4.488705,-5.364187,1.280759,-4.573733,-12.49514,-2.791254,-2.61937,2.816831,-5.596759,-2.657639,0.00746100000000006,-9.75295,-2.635255,-15.055278,6.915846,-0.802477,-1.266609,9.600389,-0.120765,0.525991,1.23447,3.661335,-0.693864,2.950657,3.516605,1.051464,-5.884304,-0.962819,-3.035018,-4.017787,-0.200156,8.252989,-2.04574,-4.096617,12.477958,-14.913029,7.709994,-15.845596,-2.511675,3.655804,-1.353407,-17.248793,7.35561,12.32539,2.81808,6.184628,11.270465,10.496576,-0.110841,12.996404,1.208269,-7.666932,0.0650649999999998,4.974119,2.292881,7.893294,10.522408,-8.286316,12.006157,4.286296,2.76473,-6.128213,-10.172737,-2.498426,-0.106595,-4.861644,10.671308,-9.449238,-9.675375,-10.587465,-12.23121,7.153234,0.127948,-9.46898,-0.76291,5.023737,6.76836,-0.0844239999999999,-5.526522,-11.926751,-1.305822,17.112172,er
-50.428005,-7.250427,4.233974,-46.329583,-0.874126,-8.500744,23.409018,-11.36962,-4.376397,44.34391,-4.94073,-6.208686,0.878598,12.320596,-3.208846,4.364971,8.082857,-17.416393,-3.359437,-11.46298,-2.37965,-19.828145,-29.673152,1.526016,-11.314491,-1.605139,-2.177452,3.739571,1.501213,-16.735698,-2.105445,-41.378901,4.754523,-10.911556,12.893448,12.729367,-22.769157,0.204975,18.172546,-6.423752,13.034015,5.488644,16.00376,-7.833944,-0.661184,0.611365,-11.771044,0.826362,-11.504321,22.449858,-13.547234,-25.824473,17.237871,-48.681986,9.746926,-38.422963,3.680521,-5.709548,-2.972458,-48.453316,21.246882,52.116393,-1.735079,12.236882,21.685157,14.71449,0.647272,19.312071,19.491579,-15.751357,-11.598602,3.691783,7.124682,9.560022,-4.453938,-14.020867,19.618931,-7.092405,5.673046,-13.58466,-20.932839,-1.371003,9.204699,7.307045,22.520463,-19.864844,-19.892387,-11.301108,-22.465783,10.83109,15.42246,-25.02834,-9.118833,9.833318,27.230394,3.32951,-10.446028,-39.630364,-14.795468,46.218171,er
-80.170792,-10.600959,-13.722034,-66.805654,-12.953516,1.575453,14.750766,-9.029742,-24.322951,78.455043,-17.915538,-12.562571,-4.858352,20.170731,4.266375,4.266389,18.924559,-38.298246,0.780116,-16.704576,-10.949428,-38.261103,-22.984013,11.185243,-16.295144,-11.420783,-26.902883,0.11567,-7.374243,-13.798821,8.563255,-74.635068,-5.247317,-18.21224,30.184887,15.705027,-35.691348,-2.639855,16.350451,-5.980024,19.699658,3.172334,36.959712,-19.565016,3.193806,2.070755,-31.724052,5.258446,-21.760011,11.12245,-28.428259,-38.409833,9.674932,-64.343159,24.964314,-36.971099,-2.837691,-6.685589,-20.588423,-52.274697,29.210603,82.596242,-8.656928,8.030355,38.023726,18.437768,3.316074,18.238904,32.009459,-3.939952,-30.124851,-3.990575,1.33525,8.648858,-23.247567,-33.537077,22.156032,-35.747996,7.66491,-22.315411,-17.642819,-8.419432,35.048319,7.061162,35.26123,-39.40326,-36.679545,6.057946,-31.270243,14.754779,22.057799,-38.855856,-24.474912,13.934627,37.806191,21.279216,-15.755564,-53.672506,-35.932282,81.218832,er
-53.741357,-9.71833,20.142608,-44.896072,-7.421584,-14.83713,17.794429,-12.726736,11.086877,41.942923,3.088128,-6.71916,-8.509322,13.464665,-1.730967,1.108098,8.981039,-24.443792,-5.665328,-19.365925,1.687691,-17.970048,-26.788037,-6.215429,-12.236321,10.907813,-6.474968,-0.505356,-3.409735,-25.941871,-7.904641,-35.146831,10.448462,-0.933897,6.406113,24.4541,-7.626485,1.818194,10.031024,7.749327,9.410877,8.765409,1.293282,0.199855,-10.56982,0.195947,-12.300084,-8.607789,0.813291,21.224293,-3.500944,-14.256494,33.346362,-45.135931,13.241977,-38.503836,6.089537,6.850665,-1.73925,-50.368904,10.551658,42.852935,-6.984806,13.853245,19.907062,20.666083,4.326311,46.406925,12.51729,-25.952851,-3.017209,12.336356,3.713566,12.089995,19.347529,-12.689129,29.360409,9.334756,8.378035,-17.91051,-23.493543,-4.40373,0.501656,0.251459,27.97629,-21.000781,-24.718844,-18.633623,-35.9745,11.582407,7.143349,-24.595974,0.798269,6.868643,22.103344,-1.798033,-9.269884,-33.574168,-11.88753,38.596082,er
-42.574709,-2.66494,-2.660492,-45.055665,-7.21682,-7.424935,22.668197,-10.582512,-4.211798,35.168073,-5.945341,-4.328332,-1.296615,3.767276,-0.932674,2.819642,8.108443,-12.82108,-7.227049,-10.670485,1.717987,-17.182963,-22.245048,5.836772,-9.028997,-2.633808,-5.335495,-0.57111,-4.765913,-9.031141,1.219784,-27.85298,5.092725,-1.993387,11.701803,19.868403,-19.6322,-5.409131,8.256153,-13.915902,6.20688,8.416112,10.431151,-2.026351,-5.733729,-4.586477,-12.170982,-0.24359,-3.687381,14.250324,-14.500597,-21.323101,15.464061,-38.641036,10.065069,-25.781427,0.907608,-1.634844,-13.952786,-27.382317,11.155115,29.790081,-2.032353,6.768493,25.414406,15.696295,-0.875174,12.763515,13.036557,-11.167454,-9.826237,-2.99795,4.752476,7.64946,-3.674254,-16.693521,14.59538,-11.059371,3.032173,-22.955747,-12.208218,-8.850548,9.884499,2.725324,24.380071,-21.895807,-19.547814,-7.228064,-13.585468,0.327767,10.526721,-19.720351,-14.053038,2.021465,19.329622,4.603967,-15.066088,-32.084103,-14.234923,46.239537,er
-27.019979,-4.102423,6.452628,-20.981245,-1.586453,-8.940798,17.826074,-2.274025,-2.626669,27.695717,-9.224922,1.465487,0.469649,8.102703,-8.318545,6.952095,14.215357,-22.465801,-4.013874,-7.747738,3.17046,-1.72374,-17.092783,-5.894492,-4.550433,7.599709,0.18974,-3.186856,1.60203,-17.519702,-1.900622,-25.697614,-0.520475,-2.173859,2.987595,8.336397,-2.297489,-2.004883,5.417187,0.173025,0.871659,4.330946,4.219338,0.500201,-3.895277,-3.398029,-1.07244,-2.144617,-4.518661,22.546913,0.19998,-6.468771,18.666895,-27.047407,14.007602,-22.963607,7.078364,1.349699,-2.970682,-35.537987,7.824809,29.964414,8.039534,6.899994,11.521951,8.575624,-0.253025,16.998427,16.180965,-13.966226,3.929107,12.700344,0.551961,8.186919,15.515371,-10.530394,25.334162,7.273493,-1.880627,-8.882151,-19.324879,5.181828,-1.281164,-1.730647,15.412326,-8.142797,-10.153913,-22.606419,-19.67617,11.745211,9.403472,-4.401208,-1.376567,0.0394219999999999,25.927155,-3.865005,-2.968701,-18.014533,-4.300492,14.615339,er
-31.501491,-2.814341,0.923056,-29.630999,-6.8168,-5.809291,22.805108,-5.418031,-5.252206,35.528511,-5.972246,-4.093041,-0.167896,14.241167,-7.234118,11.883504,6.71287,-22.071892,4.096252,-13.169178,-1.54596,-11.188257,-18.526377,3.984297,-7.927287,1.195178,-14.912317,-4.248611,-1.959581,-5.591614,0.484412,-30.51683,5.70634,-0.121694,14.457087,6.173744,-14.096252,-0.899631,6.669144,-1.687126,0.0846199999999997,2.741084,11.187165,-7.557672,-5.704566,-0.657107,-5.539493,-5.586309,-3.815687,13.358017,-5.196175,-15.925661,14.434161,-39.862121,19.276584,-33.19884,4.825991,-6.965832,-14.154739,-34.80411,9.321148,40.216733,10.16762,2.243336,21.060781,12.908615,-0.934707,10.140261,24.907428,-14.332402,-8.915084,7.249172,1.86123,3.970564,0.493277,-17.206141,16.244394,-2.306977,-1.501375,-10.133461,-27.09824,-0.992481,3.766989,3.909182,15.079697,-12.933767,-15.764396,-8.987812,-12.256285,11.367399,1.935328,-8.018585,-3.468966,2.974795,25.55545,7.118922,-10.167877,-32.083093,-11.281744,36.316858,er
-17.166367,-2.482599,-0.512013,-20.324035,0.455638,-2.049427,10.075439,-4.179144,-2.406801,13.252092,-0.762473,-2.27661,0.231662,5.309395,-3.892109,4.319087,6.777727,-12.163462,-1.341333,-7.02569,1.883732,-5.217065,-11.693467,-2.661954,-1.872232,4.281276,-4.250648,-2.250326,-1.105888,-5.238448,-3.390769,-10.631102,1.756966,-1.973819,4.991527,5.177169,-1.982408,-0.925454,0.468791,-3.688782,2.266901,5.136288,2.895468,0.86519,-1.979595,-1.800628,-3.938766,-0.670373,-1.718339,9.270051,-3.84976,-5.477525,10.430903,-13.634491,4.256041,-15.01115,2.129206,-2.4542,-1.625507,-19.562457,-1.378983,16.216951,5.344704,-1.654428,9.350625,8.61855,1.547444,8.748256,7.743715,-10.101963,0.653647,1.189064,1.792943,5.523976,2.171614,-10.280853,9.902531,-3.22481,0.194971,-9.187487,-10.494362,1.196797,2.057604,-0.791984,8.955259,-7.88115,-8.031474,-8.324628,-9.750009,8.413503,-0.645391,-4.134368,-3.076132,-0.104406,13.050748,-0.318244,-4.754055,-12.994178,-0.104611,17.686936,er
