V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-32.804213,-7.899092,3.857966,-27.555928,-7.978969,-6.262857,9.222046,-5.914313,3.205394,29.104647,-1.287256,-9.557409,-0.409388,3.309673,5.814083,-3.860788,-3.625021,-6.759413,2.180403,-2.386348,-4.042865,-18.746997,-15.365797,4.672073,-4.978836,-2.312036,-0.442977,6.145089,-7.484077,-2.752587,3.042576,-16.353405,3.92627,-1.173007,3.444661,9.570372,-14.998423,-1.916186,9.659613,-4.622148,2.781034,7.843166,2.981632,7.097589,-7.241972,0.123036,-11.704738,4.790164,-11.741344,6.375657,-5.131639,-17.768127,11.15146,-17.397924,5.738892,-9.161512,1.947314,3.805108,-2.113268,-20.483477,13.094932,28.406393,-2.736894,15.999723,10.212616,10.512667,-2.096171,17.610938,10.687202,-5.323301,-11.172168,-1.314529,6.683012,3.978343,-9.797566,-4.70608,6.766544,-10.871324,9.188307,-6.46339,-6.440078,-4.344673,6.603002,0.94918,16.668064,-6.714037,-13.17946,-0.16704,-6.860069,-0.493125,10.183797,-20.446096,-4.706009,6.799458,8.136731,1.471601,-6.049891,-16.860015,-8.471612,25.271965,chloroplast
-11.959546,-2.572252,-1.547007,-7.800457,-1.977893,-1.695352,2.690142,-4.308024,-1.588862,6.383523,-1.239641,-4.640461,-0.654162,1.467298,-0.184658,2.000876,1.381943,-3.169905,-2.748596,-0.679394,0.315553,-4.362321,-7.866471,4.479043,-2.844533,2.365621,-1.456385,1.870304,-3.257641,-3.587746,-0.147604,-8.191581,0.701894,-1.441814,1.411741,1.289228,-4.778221,-0.382109,5.663463,-5.034293,4.454518,4.682109,0.913724,1.140333,-3.189092,-0.178984,-5.286265,1.326172,-6.141781,4.924116,-3.183317,-6.681775,5.040569,-6.943555,1.050259,-6.677003,1.551461,1.109044,-0.560912,-9.587719,5.319211,12.61382,-0.780956,2.901866,5.864729,4.924698,1.07314,6.648657,6.293272,-1.602032,-6.182719,-0.55764,2.587005,4.118996,-3.542963,-5.818033,3.38565,-2.279796,2.643797,-1.087122,-3.176507,-2.215218,1.362916,0.00929100000000004,5.600635,-3.774974,-4.276331,-2.289667,-4.487408,3.049529,3.411552,-3.384025,-2.112531,3.355614,4.633827,4.541462,-2.770257,-12.380709,-4.061057,8.135064,chloroplast
-6.640758,1.687873,3.171295,-9.43463,0.616774,-0.936086,4.79794,-3.358871,-2.138279,8.266967,1.060024,-2.074285,-1.85836,-0.183894,-0.314671,-0.541923,-1.366588,-3.571323,1.666854,-1.544693,-1.5466,-5.122912,-9.410348,-0.228758,-0.850584,2.425845,-2.112728,-0.261402,-0.138344,-3.727351,-0.840633,-5.472807,4.185433,-1.731884,1.559442,3.115287,-4.014263,0.286333,1.194031,-0.207084,0.956811,3.595933,1.297876,-0.216113,-4.010807,1.10433,-4.106492,-0.740527,-0.0263980000000001,3.056906,-2.784691,-3.076687,7.262123,-4.973668,2.491588,-7.113975,1.343261,-1.369193,0.53318,-9.118233,-0.231383,7.001223,0.843675,4.444885,6.156406,4.990071,-0.16619,9.167597,1.310054,-6.114151,-1.962438,1.103941,3.686524,1.754236,5.052354,-6.186799,3.968752,1.087442,3.205238,-2.655108,-4.505162,2.475589,-3.420419,0.643058,5.495422,-1.949989,-4.469381,-1.412582,-5.460813,2.685969,-1.766399,-5.752094,0.715003,-0.072135,2.048935,2.483449,-0.755439,-2.769075,-3.073377,9.633697,chloroplast
-19.451865,-6.832175,4.397695,-19.817702,0.047682,-2.087149,6.196737,-5.62014,0.719028,15.879043,0.423793,-3.04281,-3.327018,-1.465545,0.784038,-0.085543,0.709965,-10.914606,-3.656472,-6.881495,-2.921495,-8.11602,-12.311996,-3.850294,-3.429559,-0.688946,-0.918586,-2.415338,-2.863596,-10.759031,-1.137481,-9.874124,5.928906,-5.742395,5.327467,9.130688,-5.982097,-3.051598,2.783419,-1.81844,4.118623,4.77812,1.514709,0.201356,-3.655744,5.195362,-5.082308,-2.17789,1.166504,5.463968,-2.156689,-3.974947,15.943119,-13.050365,5.854535,-13.883877,1.154313,1.402477,-6.548329,-18.472308,-1.73368,16.441508,0.690025,3.939842,12.850594,9.63162,4.594268,16.067206,9.314753,-6.937216,-3.0163,0.307854,3.292652,3.466704,1.057754,-6.595796,6.020708,-4.217167,7.184304,-10.240788,-11.365842,0.112585,-0.623296,2.774738,11.879826,-11.07605,-8.893179,-4.869118,-14.132685,1.823548,1.759528,-12.615505,-6.000756,1.368411,5.055531,2.552825,-5.750425,-9.233625,-7.077705,21.400122,chloroplast
-32.904047,-6.229691,5.890903,-26.919938,-9.514421,-6.510322,7.225214,-7.310364,3.341445,26.323784,0.0282619999999999,-8.267687,-3.634741,1.142663,5.663007,-4.253839,-1.270639,-3.691,0.419276,-6.701945,-6.667357,-15.784688,-15.224392,2.129021,-4.466289,-3.52344,-0.817593,3.215889,-5.236302,-6.590028,0.367037,-16.263447,6.751777,-2.502336,7.093581,11.170447,-14.58089,-0.776239,5.751301,-3.271239,2.165432,3.385832,3.150813,4.93694,-7.580188,3.531225,-12.928896,2.142081,-9.147348,6.830914,-7.03626,-14.206998,11.990521,-16.679635,10.918917,-10.146012,2.721162,-0.764555,-2.154051,-22.693584,6.877925,24.863264,-4.113296,12.04179,10.230405,8.815178,1.936771,18.199818,6.845847,-8.952774,-7.34852,0.126987,8.969776,0.708389,-6.2859,-6.812178,9.251962,-6.886546,7.980665,-8.061873,-8.352377,-4.721949,3.89282,0.111033,15.213484,-7.210093,-10.532314,3.514185,-9.962319,-1.333411,8.721525,-21.620496,-3.55148,5.050374,7.149186,0.173959,-6.881456,-12.090816,-7.970347,27.98451,chloroplast
-17.860247,-3.793909,0.448505,-19.89217,4.555376,-1.24733,2.113848,-5.060388,-5.734864,18.181025,-1.853458,-5.501494,-1.32048,3.060791,-2.11597,-2.224939,1.427334,-6.722797,-1.793717,-4.719342,-1.839929,-11.051708,-12.475833,-0.812264,-0.301305,3.119742,-4.381172,2.398483,0.401854,-6.805554,-3.294378,-13.215826,4.42699,-3.292158,5.770567,3.245602,-9.647477,0.121047,7.600017,-2.912952,6.739607,7.712137,2.030107,-5.422555,-6.943406,6.389844,-7.401569,-0.375353,-0.649718,4.664125,-8.627168,-7.177228,11.487397,-12.997486,8.556593,-15.197381,1.725178,-2.085863,-3.524422,-19.605014,5.258895,19.617508,-0.68628,5.182653,13.949016,8.811553,2.280374,11.476621,7.589583,-5.001511,-3.019163,0.712217,0.290881,2.300217,-2.844365,-8.754388,5.625346,-7.777973,5.227865,-4.731676,-8.757358,1.157488,2.352227,1.379746,6.42115,-9.607621,-8.3061,-3.407464,-11.094236,8.923739,1.575979,-10.936236,-5.277877,2.529288,7.90524,4.431575,-3.621309,-13.318853,-8.186159,21.921424,chloroplast
-119.558722,-18.059682,14.16635,-107.860969,-20.944653,-16.826654,34.759688,-11.330571,-7.500997,111.837217,-13.347237,-22.244204,-12.487418,30.181679,5.623745,-0.354949000000001,9.139956,-47.508958,-1.711398,-20.939703,-19.677286,-60.846857,-72.284241,12.995453,-17.299218,-4.992975,-9.783969,3.150376,-23.656226,-26.721598,-0.491204,-93.081583,12.441215,-22.977779,25.15959,37.247341,-51.476051,-0.946275,31.713647,3.287721,22.088836,24.687821,25.249649,-3.231731,-8.382533,2.858575,-49.085208,-5.587476,-32.299762,36.881581,-28.359211,-54.120184,45.177621,-90.127249,42.209629,-78.40555,0.704408,3.996344,-23.880265,-94.268019,33.821523,125.185655,-7.044827,43.1349,55.474252,44.137536,8.191188,66.221128,51.527916,-16.010259,-35.819417,1.06134,15.612647,17.863071,-15.084058,-43.064463,35.918675,-36.928116,20.38112,-38.846386,-39.910966,-11.408548,23.901875,2.517831,63.088942,-44.395051,-59.439778,-9.116853,-50.76042,20.364046,35.139241,-78.071642,-29.656094,28.012292,46.5983,20.983881,-25.063008,-75.054515,-37.940552,117.820341,chloroplast
-80.308455,-15.868795,8.890074,-68.606243,-9.059295,-13.114798,22.803307,-14.078856,-18.701318,67.129897,-14.975536,-1.50674,-3.676557,17.801295,2.692959,12.557928,15.515077,-42.614464,0.587225,-12.888789,-4.142203,-31.114994,-35.165564,-13.27686,-18.730865,-1.555499,-5.864186,-6.205865,-3.589611,-34.141958,1.107903,-56.130338,11.792783,-8.729724,17.891812,20.271429,-23.192448,-2.303576,20.283695,8.944921,18.301821,11.743298,11.934966,-4.644099,-2.901546,8.057966,-25.795174,-8.721628,-16.266493,37.464402,-14.059484,-18.200971,33.347626,-54.609488,31.605814,-43.912141,7.182611,12.725052,-13.27413,-73.71739,14.330788,72.847135,5.832319,23.07248,30.344649,26.112062,4.593041,39.668835,39.750716,-30.900609,-15.030869,10.907563,4.312637,7.015872,20.837079,-28.272542,36.696093,-13.734374,13.494358,-29.225642,-36.620358,-5.760169,21.265929,4.159592,38.750288,-22.592186,-45.951207,-14.77157,-47.622257,27.12916,17.236599,-22.137717,-9.913211,6.114951,46.383518,3.598687,-18.182517,-43.28944,-23.239367,62.900768,chloroplast
-73.527436,-8.733945,7.802797,-60.509641,-5.280078,-16.120063,37.796794,-12.475691,-10.371983,66.418362,-19.41542,-6.674609,-4.186744,13.115397,-12.816287,8.603618,19.911742,-49.348606,-12.092999,-20.691525,0.800808,-28.813092,-42.842091,-3.591359,-12.125023,12.417933,-5.473311,-9.692621,-2.942246,-28.45147,-10.262335,-50.260427,10.055952,-3.194861,11.406029,22.870874,-21.133315,-3.336815,19.797546,-4.519196,15.384179,14.697255,12.245301,-7.66881,-13.263115,4.591529,-14.162142,-8.129172,-18.587571,36.308449,-13.724037,-21.927522,39.020912,-62.630995,36.134103,-52.564053,7.749116,1.783397,-12.001413,-76.335488,9.133105,68.229725,10.151254,10.959695,30.625103,22.959566,-0.23035,43.848484,25.29907,-35.024795,-4.947922,12.585156,10.828269,14.142209,17.465669,-30.816198,39.095407,-2.829257,2.615395,-27.785938,-34.713389,3.633068,12.911267,2.383725,32.334549,-27.858777,-41.784809,-29.014827,-40.833843,26.172818,12.632477,-24.46234,-10.693287,3.596898,35.676283,5.627906,-20.113559,-49.178754,-13.245933,60.471371,chloroplast
-11.392436,-0.033723,-1.535725,-10.101692,2.715148,-3.359932,2.012387,-3.174675,-7.587391,13.764433,-0.148685,-0.611194,-1.967751,3.957788,-0.559323,4.783894,5.75332,-5.756207,-2.179822,-1.487276,-0.7444,-4.589653,-6.968617,0.134138,-2.355197,1.093723,-5.673152,-1.464233,-0.428642,-0.524662,0.35631,-8.057397,1.104835,-2.459212,3.626678,3.515311,-8.342212,1.778494,4.585566,-6.558064,2.58656,2.253158,4.49336,-0.657833,-3.453637,1.439008,-8.208806,0.270949,-4.631988,4.824991,-5.340831,-7.355551,4.97108,-11.499034,4.996352,-8.462275,2.403572,-4.339507,-3.382713,-11.110214,2.738412,11.522354,1.008655,-3.33843,7.449775,4.737264,-2.006316,8.012971,7.142055,-4.276062,-6.248564,-2.206299,1.599254,2.119573,-0.635898,-7.886871,-0.448661,-5.320655,7.215565,-3.177344,-7.873151,-2.796241,1.515153,3.394445,2.64235,-6.826498,-3.682206,-3.564649,-3.68108,2.035142,0.026636,-3.868995,-5.396017,-2.038588,6.73202,-0.11176,-5.538847,-13.341551,-3.99346,13.65267,chloroplast
