V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-20.82683,-4.161701,-2.23446,-32.057416,2.467098,-5.109187,10.824053,-9.729301,-6.332814,18.97048,-3.065246,-2.812482,-5.307107,4.288036,-5.688681,-0.111641,5.900317,-5.693569,-3.143069,-10.220329,-0.663944,-11.707917,-11.6532,-1.563116,-4.410221,1.918148,-5.307997,-4.957893,0.18129,-8.848288,-4.845445,-14.377648,10.747524,-7.467318,4.014119,12.359924,-8.855483,0.071282,4.983194,0.766289,9.750676,2.207414,4.384808,-0.191975,-5.073475,-0.0977099999999999,-10.224718,-1.83965,-0.492447,11.294626,-7.175549,-7.710164,16.319002,-22.822503,3.775606,-16.428652,1.522226,-5.966819,-8.156874,-18.109027,-3.530235,19.115019,-1.234376,0.385154,16.88078,5.787033,4.158998,10.203052,9.584525,-10.432015,5.682622,-2.737002,-2.991864,2.097843,2.460543,-13.892064,5.746061,-7.795358,4.804473,-10.517395,-12.007906,-0.111201,4.363932,2.913139,10.444924,-15.66383,-11.167374,-7.680729,-14.409855,4.136682,-1.290436,-13.869564,-7.387241,-0.993855,7.896498,0.190223,-9.726271,-17.415324,-6.991786,24.208458,extracellular
-25.938119,-1.25614,-8.074392,-22.781706,-1.836672,-0.247728,2.208553,-3.21726,-7.611355,21.75343,-0.329637,-12.548908,-1.640528,3.806436,5.876446,-3.402033,-0.243861,-5.836817,8.751271,5.270132,-3.712558,-14.294366,-8.739516,-1.060599,-2.156169,-2.239948,-13.921906,1.964865,-2.397171,2.460281,-1.536287,-15.115837,7.449746,-4.359956,-1.572707,2.684279,-8.356614,-7.794118,8.233012,-1.116617,7.840217,6.652548,7.477063,-4.40204,-8.717015,-3.896689,-10.516278,-3.392086,-6.577369,-0.510564,-7.843874,-9.844436,3.103045,-14.673669,4.840995,-11.524169,4.39554,2.819955,-1.460172,-8.624066,8.851958,18.310156,-10.44906,5.535133,7.913315,10.57518,-0.339938,-4.895825,7.049362,-5.233591,-2.577578,-1.979527,-2.730235,2.595731,-7.005088,-9.013186,0.424688,-6.71625,-2.482753,-2.295971,-5.397995,-0.232152,4.165946,-4.291303,3.169773,-3.477074,-6.20915,1.045984,-0.589488,4.708305,-2.687824,-13.382399,-9.195405,8.693974,11.660255,1.715102,-8.585038,-14.031608,-5.994197,21.60855,extracellular
-7.035637,-1.756677,-6.12267,-10.775259,-0.936115,-1.20757,2.367006,-3.62255,-5.344983,9.029757,-2.423715,3.308646,-3.628267,2.362722,-3.16824,0.981719,5.000172,-5.979836,-3.084967,-5.023474,-1.429176,-2.972287,-6.164257,1.627213,-0.0399909999999999,2.157436,-3.841531,-3.429823,1.828732,-6.787752,-2.056179,-7.503783,-0.208378,-2.596201,4.69153,0.363159,-5.835047,0.39947,-0.077939,-5.754672,2.059763,3.872289,0.0752380000000001,-5.635307,-0.024184,2.813048,-3.738898,-1.778579,-0.762081,3.364767,-6.886885,-2.546947,4.798194,-3.850162,1.96266,-5.576032,1.729515,-1.476289,-2.005739,-8.9757,1.384044,9.350339,1.550582,-0.475634,10.536074,5.995316,0.820741,3.796973,4.273491,-2.302184,-1.740366,-0.478743,0.699165,0.196777,-0.924898,-6.172968,3.567618,-3.272819,1.757234,-0.434663,-7.007542,-1.195223,3.27805,2.995446,2.011516,-5.581263,-6.305973,-4.764228,-4.720682,6.069607,-3.118566,-1.583706,-5.543103,-0.488862,6.45791,2.59246,-2.924928,-8.28433,-2.98402,14.280752,extracellular
-10.262177,-4.318437,-2.213314,-12.023674,-0.957523,-0.4107,2.225955,-1.434619,-2.356264,9.008477,-0.870875,-0.296132,-2.788998,2.175807,-1.691034,3.934549,4.019975,-6.470291,0.244053,-3.908244,-0.928595,-1.315443,-6.809774,-0.099428,-2.665286,-1.993047,-3.997902,-2.61524,-1.374091,-5.371553,-0.068226,-9.288973,-4.130519,-3.567731,1.248313,3.068326,-2.382005,1.860546,-1.55178,-3.591469,1.206026,2.466064,2.688818,-1.471709,1.232812,1.755122,-2.896407,-0.314761,-0.045441,5.04901,-4.162627,-2.693306,4.970791,-7.315035,2.389821,-7.405145,1.24203,-0.251662,-3.880874,-8.815601,0.0611759999999999,12.756376,-0.119847,-1.304878,7.92154,3.329933,1.473164,2.982763,5.82667,-2.903005,-1.577825,-0.162901,0.904656,1.609113,2.478997,-3.902981,4.938764,-0.853682,1.377602,-2.890449,-7.887058,0.507553,4.077604,0.966606,5.340594,-6.694156,-3.517773,-5.752052,-7.266304,1.219223,1.899366,-2.876008,-1.626647,-0.482808,8.889116,0.747273,-2.386854,-8.065972,-1.773769,10.947894,extracellular
-16.803311,-4.276128,0.047457,-19.948256,1.130601,-5.224631,5.873816,-5.309649,-1.790482,14.327759,-2.430204,2.550147,-4.61062,-0.521603,-0.352927,2.432676,5.424108,-6.221865,-6.817888,-8.520007,1.098807,-4.631383,-8.930183,-2.916356,-2.628416,1.732969,-2.741707,-5.788114,-2.53456,-11.319311,-4.510849,-8.810467,8.054178,-2.658411,0.984939,8.638662,-6.684659,-2.025486,-1.135751,-1.045371,5.432529,6.395026,0.706355,1.88322,-4.693811,1.344968,-7.42241,-2.948164,0.434965,9.933925,-5.442198,-4.010837,11.879788,-14.032152,5.528142,-12.666691,6.302514,-3.163981,-5.8085,-20.196932,-4.735582,13.996982,0.279245,-0.628546,14.013899,6.05778,4.156519,8.247942,6.356807,-11.007045,3.32049,0.873969,0.463006,0.895938,7.082989,-10.165298,6.43304,-3.099661,6.559994,-9.644576,-11.454291,-4.80506,-0.910195,0.206498,8.429561,-8.295633,-7.471765,-10.33321,-13.984859,1.231236,1.621272,-5.644784,-6.720597,-1.644411,5.127892,-3.375767,-5.928898,-11.724327,-1.12756,18.850718,extracellular
-17.347382,-6.159215,1.129718,-17.86611,1.324062,-3.938161,6.111991,-1.448055,-2.66029,15.470371,-2.558376,0.319157,0.95544,6.439557,-3.149974,0.372507,9.734931,-6.379622,-3.942491,-4.718209,0.144256,-5.435513,-7.390914,-2.188424,-4.186395,2.322314,0.440689,-3.908688,0.701702,-4.685238,0.798106,-10.458233,-2.432755,-2.826186,2.36144,5.857671,-1.074908,1.500461,3.638279,-1.776646,-3.531852,2.292562,5.807447,-2.737041,0.061067,1.934444,-2.333602,-0.938793,-4.194776,8.030441,-1.432525,-5.026621,4.003401,-12.349296,5.181338,-12.716648,4.300988,2.435376,-5.429026,-10.224069,4.943863,15.055221,4.836082,0.567509,7.9896,4.796697,-0.801836,1.746347,10.948451,-4.181328,-1.034225,-0.848246,-1.099696,4.441756,4.094165,-6.894614,8.776694,-3.27023,-0.0779779999999998,-9.619179,-7.621457,-0.794433,3.985204,-0.589748,7.20994,-12.092845,-4.478672,-11.875175,-11.94912,7.185576,2.360518,-4.770704,-1.81265,0.837921,12.570116,-0.567802,-3.896674,-12.172538,-3.642832,13.06577,extracellular
-18.672474,-4.657387,1.796614,-16.557907,-4.264821,-7.140737,6.570442,-4.124888,-6.369374,19.62196,-2.163707,-5.520357,0.303569,3.782862,7.235244,-3.129357,-3.630286,-0.207295,-0.21602,-4.075624,-0.159331,-11.792337,-14.477581,3.055622,-3.80276,-3.594248,-5.377383,3.602126,-4.936445,-3.1137,3.199991,-19.788573,-1.757568,-5.635232,4.839144,4.509365,-11.966819,3.567104,6.916798,0.72051,8.864575,5.661116,8.787841,-2.09293,-6.132053,2.804481,-15.232922,-0.298981,-9.228874,7.514939,-6.606025,-11.631202,3.446304,-12.761463,7.826371,-8.863556,3.788004,-0.864993,-2.871544,-15.844007,8.88961,21.881079,-5.609405,4.898882,8.410267,10.41479,-2.344371,12.874641,3.723631,-2.864557,-8.487898,-2.872586,3.130219,6.510785,-3.220658,-7.02948,4.944866,-10.322086,5.626124,-7.201639,-3.167527,-6.753632,5.375465,0.904485,9.581358,-9.721706,-8.775372,-0.039374,-6.445954,3.777863,8.346001,-9.186455,-4.165776,3.571958,5.110941,6.849358,-4.914128,-18.924188,-13.287183,18.353838,extracellular
-28.546432,-14.941001,-23.004448,-40.837145,-19.998974,-13.058371,5.926906,-5.392593,-30.301243,20.987587,-3.777487,-19.823124,-8.342627,-10.750493,28.71862,-18.208118,6.853519,-9.298663,8.461472,6.975946,-14.302134,-16.699291,-7.399195,11.427999,-14.056626,-3.675994,-27.387983,2.239217,-8.029926,10.278163,21.66735,-23.243396,22.885435,-1.531823,-15.125207,22.201503,-34.129224,-8.844192,14.513073,11.327577,4.073743,5.604676,18.136257,2.128019,-14.781986,1.764726,-41.077757,-10.047014,-20.114489,9.605087,-2.988831,-21.413723,-7.825415,-36.148637,1.403935,-5.075753,-13.916374,14.432101,-10.995502,-8.437718,14.491912,17.575693,-24.835914,1.947301,-7.343598,25.488215,-7.45005,-7.753214,24.064196,-5.674957,-8.533599,-13.347003,-9.957472,-0.935502,-18.768065,-33.303958,-3.288062,-36.365595,10.728942,-12.467862,-2.409496,-3.353333,19.277315,-21.797895,8.795247,-15.752284,-31.297828,7.969091,8.358178,-5.778749,8.761493,-19.576192,-8.045979,19.375295,12.107755,-7.932348,-12.557555,-29.605771,-10.620368,40.502091,extracellular
-7.462463,-1.803142,-6.251377,-15.68348,3.405998,0.106596,3.29079,-5.689333,-14.454616,15.0333,1.736668,-2.714742,-3.848036,3.41154,-3.166793,3.34703,-0.378746,-8.719122,-2.786179,-7.686881,5.570262,0.199445,-19.396568,6.950581,-0.0819680000000001,2.102379,-10.928278,6.848046,1.838898,0.153909,0.159562,-22.393414,4.34671,-0.570632,9.052954,2.106852,-11.116632,-0.165256,5.004447,-13.683435,4.417588,8.077729,0.400057,-9.609957,0.600429,5.895912,-15.790984,-0.100892,-6.988417,2.796922,-9.286544,-7.295629,4.177224,-12.709705,5.792986,-15.315934,9.305746,-4.563839,-2.65071,-15.980434,5.117851,25.798897,-0.547858,-2.105691,15.867484,8.264148,-4.626611,7.609647,8.204241,-3.870417,-11.597136,-0.940034,4.006827,4.775164,-3.396468,-13.199792,7.068347,-5.178819,0.31777,4.186492,-3.162561,4.01178,2.262012,1.631332,-1.650178,-1.244785,-8.414568,-6.377923,-5.004975,8.410893,-2.516001,1.129637,-3.732618,1.647892,13.021294,10.662067,-3.583163,-19.133906,-7.59477,23.657764,extracellular
-6.451239,-1.256705,-2.502601,-11.176006,0.736931,0.903798,3.504495,0.809217,-5.07236,7.908012,-1.991641,-0.862991,-0.745767,3.169897,-0.520856,1.668085,1.903895,-5.890844,0.140848,-0.328077,-1.080392,-3.855025,-5.922181,2.562118,-1.546231,-1.055151,-1.504322,0.684112,0.286147,2.126232,1.642241,-7.844603,-2.830249,-3.947874,4.454857,-1.723406,-7.724351,2.242866,3.56504,-3.694215,3.519133,4.645099,1.274574,-0.535989,0.306533,1.379345,-5.683111,-1.499349,-5.292508,1.933754,-3.242803,-7.054728,-0.540591,-6.979197,3.002449,-2.830723,-0.231392,-0.421909,-3.516058,-6.977534,6.339398,11.737967,0.55367,1.756291,4.399812,5.47814,-2.741625,2.667657,2.993508,-1.457776,-6.981112,-0.831703,-1.023373,0.462068,-4.518634,-2.054878,0.627637,-4.919548,2.461421,0.426296,-2.488305,-3.483502,4.987845,0.507625,0.234452,-3.741076,-3.135515,-2.595026,-1.556343,3.230366,1.416397,-1.626335,-5.168514,4.156141,4.249735,5.585019,-2.124516,-10.698635,-5.872309,13.457378,extracellular
-3.211594,1.193445,-3.310368,-4.052969,-0.477246,-0.285396,0.867582,-0.806055,-6.449061,6.018429,-0.34375,-0.382957,-1.313274,2.799684,-0.0616399999999999,2.298226,-0.190144,-3.868511,-0.272751,-0.810789,0.133826,1.976439,-4.582552,0.187687,-0.87757,-0.318579,-3.932299,0.324558,1.274609,-1.721009,0.262039,-6.460941,-1.410016,-1.27777,3.149289,-1.306593,-4.819631,0.028886,0.823827,-4.350691,1.675655,0.296816,1.343904,-2.940442,0.156635,0.285467,-4.624842,-1.510881,-3.018218,2.815365,-3.818099,-3.580468,-1.111034,-4.486134,2.083547,-5.696957,2.324957,-0.539373,-0.499411,-5.21751,0.38852,8.703243,0.345923,-1.113286,5.268046,2.892773,-1.255512,0.119911,2.668895,-1.068791,-5.102878,2.651466,0.524376,0.952431,-1.102458,-2.393033,0.268349,-1.015415,-0.393298,1.12025,-2.838662,2.479929,1.521527,0.712171,1.427559,-0.642206,-3.809501,-2.07312,-1.865732,3.169901,1.021942,-0.981351,0.039091,0.844683,4.941034,0.44362,-2.71382,-3.49296,-4.525387,7.431929,extracellular
-13.546422,-6.913608,-1.386292,-17.575859,-4.961194,-3.860476,3.204704,-3.096821,-2.584284,13.219299,-4.114485,0.412153,-6.60561,7.521077,1.229774,4.41456,6.972609,-6.058449,-7.080288,-8.414014,-5.662464,-3.371201,-2.680036,2.57607,-8.440798,-7.717321,-4.699807,-7.295493,0.40531,-7.361785,5.986274,-14.616005,-10.632447,-7.392316,-1.544137,9.584675,-2.922144,0.729509,-1.760001,-0.336672,0.804809,3.168747,7.497509,-0.250761,0.612105,-2.438653,-10.304126,2.115321,-1.84602,5.243257,-4.892624,-3.37175,4.353444,-12.301248,2.600692,-5.490268,1.499325,-2.407422,-10.465988,-7.423738,5.260816,14.732002,-2.246651,-0.805192,12.833848,7.989454,5.347622,-1.07782,13.297412,1.720947,-4.326527,-0.100619,-0.279695,9.532219,-0.771094,-6.976781,3.560756,-5.392425,4.340645,-12.086041,-10.370229,-6.420489,6.448333,-0.783716,11.554421,-13.518594,-6.522801,-5.154859,-10.837017,4.668161,6.454548,-6.24084,2.399382,4.121635,11.151462,1.503658,-4.706769,-13.609859,-6.573595,16.356856,extracellular
