V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-32.675886,3.134962,-2.488657,-40.2136,4.072723,-9.41796,17.589325,-15.384937,-8.791219,33.296619,-5.041676,-3.875262,-8.137157,4.686419,-7.338159,1.57952,14.914905,-23.280619,-6.627734,-17.330048,0.406869,-17.926601,-23.074216,1.204863,-2.86496,-0.170743,-13.409177,-2.458881,-2.237991,-9.069031,-3.615911,-30.978315,15.266944,-10.161883,12.064476,15.360869,-19.165092,-2.949119,7.625222,-8.60234,10.375525,9.34787,12.798868,-11.565841,-4.473735,2.974856,-13.357945,3.197511,-5.329441,12.396161,-16.518683,-12.068523,20.230885,-31.839173,11.354569,-25.103658,6.134562,-14.525039,-8.982037,-28.719765,0.256308,36.217038,3.171108,-1.066897,29.207496,13.156371,-1.796808,17.243926,9.108379,-17.337138,0.9155,-4.513082,0.0319119999999999,1.989862,1.270046,-17.841866,20.090734,-13.03773,0.643365,-11.358936,-12.051623,0.87708,9.621342,7.689029,16.008336,-16.808631,-16.973853,-11.382843,-20.985113,7.322581,-2.908163,-13.617183,-10.815359,-2.533291,14.252245,6.677864,-10.69276,-33.622583,-9.5806,41.388817,vacuolar
-18.33457,-1.305437,-3.819656,-21.821847,9.218993,-6.958631,6.183997,-6.06769,-2.459585,14.216344,-2.067049,-1.557938,-1.774077,5.468891,-1.856151,4.242299,10.561868,-9.898242,-3.313857,-9.388848,-0.277944,-8.384848,-11.769403,0.677243,-3.352733,1.759469,-5.009325,-3.776317,-0.951351,-5.845352,-5.569928,-7.294637,9.640723,-5.205755,3.784156,7.152997,-9.065755,2.229852,1.468229,-3.781999,2.970801,2.868263,4.348212,0.822051,-4.352678,0.935892,-3.454597,0.141147,0.505539,8.279736,-7.051847,-6.159777,13.108881,-17.451477,4.665763,-9.755063,4.644665,-10.137969,-6.100684,-14.79328,-3.659168,8.76196,3.547285,-4.415103,14.179162,5.222472,-0.165809,9.919847,6.573311,-9.124306,4.955337,-0.200912,-3.760891,5.047847,3.377752,-12.789971,6.711077,-0.498832,-2.510845,-7.41359,-10.065011,-1.421803,4.966097,3.870696,4.709335,-7.874177,-6.288168,-9.091541,-10.434966,0.578372,-4.880816,-3.796502,-6.381341,-4.120233,8.612603,-1.84756,-7.897595,-17.284098,-1.421961,20.480645,vacuolar
-26.525953,-3.48633,-2.577795,-25.985948,-2.26101,-6.667774,9.421767,-14.5455,0.561018,17.318644,2.012349,-3.486986,-0.150611,3.695345,2.568982,-1.363549,4.436924,-2.577197,-1.756073,-5.022467,2.263593,-15.185211,-16.735312,4.528998,-7.638738,3.614265,-3.457614,-4.129454,-2.453624,-6.701178,-3.460973,-12.732431,5.979729,0.542313,8.629048,10.816953,-14.742947,0.825477,4.17465,-11.316696,12.854398,7.916352,2.829394,-1.858371,-11.635327,-1.083182,-1.979497,1.756696,1.028211,7.560592,-9.645652,-11.287215,15.824096,-20.212685,7.997442,-13.919528,-0.208765,-4.167543,-2.305157,-23.194699,3.808435,21.522369,-1.921741,0.258318,21.821223,10.69802,0.119057,17.629684,6.88621,-5.65178,0.469231,-7.209704,1.922537,2.088838,0.294215,-9.993949,1.848119,-9.974581,5.681565,-9.164335,-12.742067,-9.804933,-1.366115,1.23023,16.145331,-11.958389,-8.307707,-5.054578,-10.36955,6.747881,5.350855,-15.765597,-9.265266,4.347714,3.495224,4.002295,-8.227804,-23.88251,-8.873065,28.664891,vacuolar
-38.119285,-2.209279,-0.0367270000000001,-38.772294,-6.637914,-8.215219,12.707369,-9.897669,-11.331967,30.200987,-3.917857,-7.243435,-1.469211,-1.162494,-2.676454,2.047238,6.044654,-13.12049,-2.365395,-9.817755,1.968868,-18.759308,-24.169735,2.541925,-10.153948,1.25302,-8.744405,-0.143785,-4.927161,-10.489892,-0.833829,-28.265152,14.205193,-8.440522,10.08259,11.802303,-21.4863,1.27538,10.63245,-13.296793,10.431022,9.773964,8.650634,-8.046699,-10.476685,3.311189,-15.035092,-2.208468,-8.761281,17.826563,-13.236091,-11.755572,16.866573,-30.08312,14.528315,-23.641975,0.6202,-4.798789,-9.529661,-32.574709,2.879107,36.854267,-7.285679,6.214715,25.599871,14.801508,-6.623158,20.250149,10.386378,-8.229939,-6.24149,-1.481282,9.147858,8.612015,-5.07836,-15.359659,10.108851,-11.983496,9.420216,-8.490556,-12.777797,-3.708629,7.226891,2.165669,15.758043,-16.569497,-12.243456,-3.586443,-13.800893,7.666463,4.187451,-17.513886,-8.544156,2.695863,10.588205,8.009195,-10.567448,-30.028647,-17.013856,40.691348,vacuolar
-38.330461,-1.427827,-5.290314,-37.435899,3.362229,-9.515879,12.042662,-7.914712,-12.862486,34.311256,-7.268303,-6.115082,-0.442726,8.059563,-1.446712,2.352509,14.073436,-21.495518,-1.767934,-13.409738,3.526955,-20.227749,-23.23328,3.606499,-4.62662,2.823063,-8.062303,-2.822072,-4.285171,-5.618006,-2.252695,-29.960152,13.411289,-7.105831,15.165519,13.261613,-20.335388,3.784396,7.161244,-13.332099,7.327657,7.981295,9.610783,-4.21628,-5.475771,-0.841574,-12.670219,-6.894874,-8.155297,20.053453,-15.715006,-19.703231,19.882011,-32.505269,15.847915,-25.991382,9.168377,-7.030956,-7.847698,-39.766461,0.728823,33.303667,7.756695,0.308566,23.217016,12.407695,-4.055513,23.788444,15.066864,-20.076705,0.165145,-2.597451,-4.972606,3.553688,5.030192,-23.96525,19.993878,-7.389057,3.208712,-14.73711,-13.818288,-3.968976,10.393974,6.046834,12.578603,-16.654837,-16.548794,-11.480313,-19.499133,9.102072,-4.240721,-8.229521,-13.367235,-5.780006,18.223178,5.574216,-14.677242,-30.754984,-14.485172,40.71832,vacuolar
-13.554877,-4.600151,2.55258,-15.695439,1.642768,-3.661685,4.391759,-7.05362,-4.467866,9.756334,2.17936,-0.934733,-2.618921,0.320655,-1.191239,1.950107,4.854643,-7.033413,-3.936095,-7.563239,0.142868,-5.467354,-10.167363,-2.374668,-0.41407,3.973499,-1.92609,-0.023468,-1.343011,-9.382875,-2.58234,-12.322301,2.428257,-3.529961,2.775897,7.432527,-5.348474,-0.223308,-0.822371,-0.593617,3.894589,3.623321,3.542943,-1.830118,-2.432775,-0.0950729999999999,-3.982108,-2.926428,0.997371,5.441111,-4.42421,-6.274444,9.680652,-11.729642,6.769359,-6.973846,1.662248,-2.605375,-1.556654,-14.812288,-0.149842,12.927592,0.674819,2.897332,10.806035,2.515014,0.908086,10.225175,3.160118,-9.718295,0.227869,0.337907,3.158081,2.605249,4.911524,-4.002373,5.989774,2.29535,1.29902,-7.834337,-8.02844,0.153362,1.43048,1.851744,7.217993,-8.765538,-4.935073,-2.45408,-13.268426,4.248292,2.359172,-5.238501,1.402355,2.533969,6.547279,2.189689,-3.909543,-10.683903,-2.143184,14.989062,vacuolar
-25.761621,-7.899817,-2.239562,-31.480629,0.155635,-8.679056,10.665276,-10.981784,-2.431656,19.862403,-4.373993,-1.28149,-0.350662,4.654608,-2.545721,-1.02873,5.962864,-5.057344,-3.11607,-9.258549,-0.901373,-16.096529,-11.254425,4.099038,-8.237978,0.696634,-2.40416,-4.034144,-5.49098,-6.733582,-3.550677,-13.30969,6.667623,-8.470473,9.8728,8.299507,-15.979248,2.038142,5.986912,-6.673496,10.752364,6.022036,8.022455,4.264618,-5.795429,3.458785,-11.959661,1.458921,-1.907847,10.823042,-12.44887,-11.444303,12.307908,-24.521448,2.411976,-15.657974,0.618226,-4.919785,-5.997079,-18.867366,1.809985,25.387111,-1.323347,4.249179,19.556334,8.199197,4.153059,11.269594,9.26892,-6.084408,-0.241905,-8.177296,-0.727149,3.941575,0.704623,-10.729566,7.884811,-13.08134,9.137758,-11.737834,-12.294353,-9.74542,8.155834,4.196409,14.640687,-16.121939,-8.251455,-5.207391,-13.539006,4.264337,7.536304,-15.427524,-11.903985,1.321295,5.166175,2.388923,-7.538383,-22.352394,-11.919835,27.08866,vacuolar
-27.24421,-4.560389,2.774667,-32.806869,1.108486,-9.445409,11.853138,-10.154786,-4.964632,24.657001,-2.165712,-1.832486,-4.552066,7.550362,-3.695638,0.673269,7.032788,-13.653471,-7.951216,-7.699964,-3.858975,-18.594277,-20.852845,2.825278,-7.780307,-1.914862,-11.378666,-1.800769,-0.679437,-11.438888,-2.72848,-21.349393,11.305583,-3.899285,7.984203,9.728074,-13.39351,-3.334748,5.866787,-5.537669,1.17413,4.284839,5.066712,-7.154953,-7.11866,-1.354218,-9.859712,-3.445348,-8.422925,15.872011,-12.02531,-10.521659,17.339677,-25.957654,8.003375,-21.27995,-0.0972260000000001,-5.832516,-4.03523,-27.006558,-0.280591,22.789202,-3.688411,1.043275,13.698049,8.789066,0.556933,17.831293,5.557616,-12.446693,1.857859,0.30421,4.159333,0.728991,-2.453088,-12.680936,9.942276,-3.528308,4.057688,-14.33272,-13.50223,-2.640252,4.899736,5.408542,14.740633,-17.05139,-12.157904,-2.388609,-16.444042,3.136048,0.768007,-16.688149,-2.451012,-3.518013,9.132373,2.629842,-6.680714,-17.606253,-8.597654,30.992935,vacuolar
-28.535398,-2.621496,-8.344451,-42.042759,5.042249,-10.118616,15.046882,-16.958675,-11.925868,36.911978,-8.451377,-4.422883,-8.035823,10.587605,-7.372116,1.065923,17.078544,-20.006217,-8.208379,-16.677301,0.948389,-13.593246,-20.941848,-0.425979,-4.508084,-0.932276,-12.020924,-4.731005,-1.824743,-10.864102,-3.154437,-30.250078,14.927128,-11.77122,13.969258,10.897886,-19.003789,-1.4559,1.813146,-8.40572,8.961168,7.961422,15.348756,-10.5209,-1.499175,6.986017,-16.157046,1.079908,-1.951126,12.654472,-13.690236,-13.976564,18.931764,-33.884442,10.976761,-27.353983,6.502135,-16.589486,-9.040812,-27.767901,-2.475721,31.672975,4.690137,-5.371929,23.596624,8.315047,-1.181113,17.677677,8.663205,-17.001891,-4.1947,-4.596676,0.0966399999999999,-2.528537,-0.576277,-18.619187,10.47749,-12.506525,5.288575,-13.188412,-8.492774,-3.073296,11.592742,6.121219,12.92641,-16.059829,-14.959388,-9.806491,-20.05346,7.995322,1.079838,-12.130115,-13.86109,-4.710947,15.141961,-0.144214,-13.150005,-34.661697,-12.378023,43.302678,vacuolar
-34.423284,-0.620868,-6.620035,-40.415221,2.652799,-11.92873,11.803784,-7.167388,-8.391395,36.060586,-4.784716,-8.001802,-3.280084,9.594929,-1.498292,3.630775,8.967621,-15.099466,-2.230071,-8.881009,3.86366,-23.830596,-25.732399,1.880861,-11.34236,1.726643,-14.704748,-7.855102,-1.991711,-6.530042,-6.411487,-31.22057,14.820223,-9.611839,13.908387,13.273601,-22.933208,2.799727,9.55307,-13.712556,13.422929,8.424422,9.204649,-2.509184,-3.652638,-0.208997,-10.066684,-5.82879,-5.213744,16.503049,-17.303161,-15.650652,21.302371,-36.743922,14.038298,-25.997101,6.213263,-10.255757,-7.405262,-36.005902,3.649087,31.354738,4.671174,2.401586,22.544714,13.014203,-4.32638,22.782358,11.310349,-16.880147,0.556529,-6.714532,-4.779334,0.251662,0.895452,-25.510745,15.839897,-5.992539,4.218573,-13.883607,-14.416772,-1.44047,8.462047,3.702903,11.418829,-16.123639,-15.044384,-4.884537,-20.094808,7.848224,-7.695614,-15.324761,-18.308043,-5.784338,18.293192,6.307446,-17.400741,-33.447398,-9.832657,40.426938,vacuolar
