V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-24.728275,-9.016515,-3.68945,-29.667154,-5.162732,-6.12405,7.926952,-9.208731,-11.454189,24.532532,-3.48559,-4.37324,-2.813789,4.521891,5.436243,2.065862,7.492582,-7.3717,1.768639,-7.278514,-2.744829,-11.833158,-10.20058,5.247765,-6.743685,-4.985965,-11.773373,-1.227899,-6.375938,-2.417366,4.006701,-24.776911,-3.146598,-8.130453,10.25751,4.279025,-16.827847,1.964535,10.055311,-6.215798,8.090705,6.847017,12.404645,-7.034795,-4.51458,2.050619,-15.488097,3.510088,-9.959962,3.481487,-14.132441,-14.50257,3.04254,-26.621265,4.965763,-11.572798,1.577036,-6.826577,-3.016422,-12.705674,6.884446,26.444971,-3.710847,1.019456,16.578126,8.428417,-2.146118,-1.845972,10.995706,-0.710039,-8.815055,-9.19659,2.629426,4.09552,-8.443361,-14.467475,3.691061,-13.361001,3.020205,-7.284892,-7.691029,-5.811244,11.488303,0.938452,9.720066,-13.778931,-7.077247,-5.322391,-3.77724,2.303812,5.24249,-8.292789,-10.877899,6.287917,13.361731,8.850769,-8.371921,-24.005776,-11.610884,32.822299,lysosomal
-20.784674,1.666253,-7.656478,-20.777608,4.404427,-5.385139,4.747852,-7.771067,-13.94094,21.633435,0.130845,-2.047321,5.662704,7.435223,-0.919808,4.476687,8.168123,-11.507257,-0.413357,-8.516189,3.213833,-10.140723,-19.14946,2.075833,0.894042,-0.662827,-16.578594,-1.64749,1.333278,1.187163,1.701236,-22.906326,10.859215,-2.166497,11.323998,5.560401,-14.996545,2.590166,5.716189,-8.303974,5.595852,9.252935,4.197478,-4.894229,-0.4686,-0.177071,-16.417807,-3.894276,-9.111179,5.359522,-14.143357,-8.948039,3.867382,-23.022739,8.322341,-14.534663,7.09732,-9.699798,-6.683306,-17.553498,6.818263,28.651221,2.491597,-4.710108,19.868452,10.719824,-7.996089,7.762897,13.604713,-9.520262,-10.013067,-6.405237,5.82381,5.91861,-9.165373,-15.431858,2.683064,-11.361864,-0.724328,-2.182037,-5.876534,-1.890668,6.242943,4.299143,4.063864,-7.834656,-7.291279,-3.038489,-8.596677,7.296369,-3.810984,-8.244253,-13.176736,-1.485322,9.748407,9.273418,-3.542869,-24.991725,-11.719825,32.384842,lysosomal
-16.975984,1.72489,-1.63677,-24.378516,0.446431,-4.842537,11.96408,-4.234198,-9.124752,24.097701,0.700252,-3.272705,0.449434,-1.542717,2.23651,2.599372,9.156383,-8.894725,0.225015,-7.385172,1.265899,-4.738851,-13.202333,3.777868,-5.737238,0.498174,-7.508031,-0.22723,1.005141,-1.401842,-4.358228,-19.331838,6.374738,0.972312,6.426432,7.843928,-15.414631,1.215482,6.744739,-3.130549,2.698788,7.19171,5.505268,-0.922828,2.041219,6.357832,-11.653949,-3.767941,-4.893487,6.810065,-9.505733,-7.506432,9.754182,-20.100276,8.751686,-19.792458,2.220223,-2.889564,-4.006098,-22.394588,3.007956,25.800734,3.084838,2.74903,13.463599,10.784773,-5.223178,8.799714,11.730485,-9.639047,-0.0386090000000001,-1.914158,-0.700405,1.674803,-1.43202,-12.8242,8.605138,-6.366505,-0.530607,-10.95361,-11.552849,-1.396265,2.979944,1.646953,9.934454,-6.674481,-10.215483,-5.813943,-9.3544,5.487522,2.250076,-11.159815,-8.11482,-5.44087,12.314411,4.800059,-3.699879,-19.157652,-11.703286,28.342764,lysosomal
-21.577024,-3.481386,-2.880419,-30.564808,-2.931061,-9.026639,9.057278,-11.129959,-3.88858,22.78123,-0.23711,-5.605004,-0.632422,-1.991546,-1.632589,-1.906575,3.052805,-9.828248,-4.841298,-9.884589,-0.647867,-11.22895,-19.213747,2.854284,-6.284107,5.904687,-5.354,0.869595,-2.767924,-5.590447,-4.858527,-22.180568,9.760134,-3.632543,8.787282,11.021342,-17.390766,-3.358786,7.745425,-8.857391,6.133933,8.244155,4.347811,0.306529,-4.06078,2.55978,-16.098044,1.004588,-3.651621,11.92064,-10.337288,-11.27892,18.197672,-19.915337,9.993396,-19.594844,-0.709111,-5.209062,-1.976097,-23.271884,3.571439,25.187863,-1.119671,0.265258,17.27485,11.615827,-2.132931,19.882413,8.114769,-10.987939,-1.886685,-6.52772,5.596436,4.403222,-1.236496,-11.968459,9.936953,-4.151508,5.95122,-7.844188,-12.687221,-4.572122,0.164011,5.588559,13.642816,-10.741583,-8.614853,-5.329279,-10.585201,2.122185,3.701376,-15.095789,-7.891519,2.722661,6.810126,3.9552,-10.710237,-24.93833,-6.866883,29.313771,lysosomal
-36.720179,2.700457,-5.086736,-40.220797,7.631067,-1.690363,16.137994,-7.336456,-10.778795,33.263445,-12.139147,-3.42556,-4.498483,12.971599,-1.472658,0.317118,16.898038,-19.425697,-5.837811,-11.628688,3.330658,-19.818966,-17.981848,4.992259,-6.727997,-7.251907,-9.987868,-7.881149,-2.90743,-4.486177,-5.217165,-34.526619,4.224714,-9.966027,18.348489,8.438155,-20.09957,-1.221857,8.393774,-9.882968,9.109537,4.789045,12.387088,-10.836995,-1.871898,8.281526,-14.934589,-1.171982,-9.105001,11.168512,-15.067605,-16.122555,10.803834,-29.766264,11.971405,-22.350628,3.398903,-3.716698,-6.04463,-31.025203,8.719536,39.890142,-4.394348,5.003552,27.930229,7.841962,-0.678016,13.310738,16.69126,-9.03707,-6.67701,-5.809752,-0.294565,6.135447,1.759374,-20.781099,11.508391,-7.455823,8.936214,-16.770151,-9.17039,-0.185314,19.143909,13.269969,12.460509,-16.279829,-15.544265,-6.918057,-11.627854,9.930285,2.04578,-15.678744,-10.717351,0.0175339999999999,16.79054,5.82676,-9.102066,-30.573257,-12.583511,40.826371,lysosomal
-40.787303,2.212917,-1.454579,-41.878167,2.879086,-1.2679,20.933304,-6.298528,-6.893224,38.015873,-12.325286,-0.260184,-1.655336,10.106284,1.113,2.562305,11.290487,-22.407977,-5.134955,-8.53938,0.853734,-23.061535,-13.605509,1.228755,-6.402373,-3.246194,-13.517077,-9.898486,-6.374215,-3.977309,1.488701,-38.81762,3.58096,-12.764401,14.668016,8.212091,-18.212183,-6.645457,5.218578,-7.789731,5.755041,5.492657,15.168861,-9.844945,0.358306,6.177538,-15.765588,-0.690823,-10.575724,15.349217,-15.620653,-14.750981,15.37651,-31.917402,16.266707,-21.672879,5.862316,-4.753187,-10.48322,-30.819624,8.966711,39.61478,1.221718,4.927358,25.203215,15.397362,0.659679,13.001742,13.467892,-8.189129,-3.536791,-6.379932,-0.822129,2.620732,-1.520812,-18.769415,16.0764,-8.99392,5.880211,-12.921942,-15.929856,-6.186777,12.531081,7.482785,18.429013,-19.201516,-15.507187,-11.445276,-13.51614,7.862784,2.263242,-16.279374,-12.927904,3.031484,17.558546,0.431563,-11.898195,-31.756166,-12.760926,44.022584,lysosomal
-56.745888,-11.926099,-3.630667,-48.658548,-10.986114,1.332672,14.915952,-4.337752,-4.730126,55.856496,-11.701733,-12.707476,0.524883,24.268395,10.1436,-1.516612,7.176724,-20.080072,6.581638,2.093759,-2.69194,-34.24042,-10.806366,6.998507,-9.363078,-15.207733,-14.465292,-6.090347,-14.159653,-2.602525,5.301123,-40.018404,-11.180526,-13.134158,18.604295,2.85785,-26.513428,-4.297096,19.122799,2.842236,13.962553,7.312269,31.05497,-6.149292,0.400956,-2.966834,-15.172063,2.059488,-19.329074,11.418532,-15.49778,-35.598751,1.44031,-42.680213,13.426799,-22.241382,2.474949,-0.199688,-17.777205,-21.485977,30.620797,55.275997,-13.969707,21.667922,17.092912,14.446465,1.188084,9.585148,28.425229,7.704448,-23.175235,-10.156135,1.976492,7.181494,-24.159804,-13.119469,9.144154,-23.193792,3.645529,-10.799666,-11.732039,-6.191656,34.699048,9.223118,18.075037,-25.60368,-18.110111,2.616789,-7.668875,4.719011,9.886782,-26.190853,-23.809771,13.800616,25.754161,11.592237,-6.954598,-36.661571,-22.532862,47.642544,lysosomal
-39.215004,-5.536561,-5.61067,-43.928117,7.459517,-6.166224,15.84976,-9.977621,-9.000653,33.086476,-11.445651,-2.434427,-3.688088,10.638326,-1.177307,3.036214,20.731215,-14.507527,-2.508687,-10.911628,-2.915368,-20.067305,-18.037196,6.098152,-6.711369,-8.07815,-13.235284,-0.646788,-3.811523,-7.005909,1.389293,-33.817722,0.114409,-11.955913,10.990154,11.886041,-18.360612,-1.117746,15.777744,-6.927468,9.813784,15.257859,14.231516,-6.146231,-2.682079,-2.733432,-17.583834,-0.958488,-9.663743,13.070864,-11.007586,-17.847551,12.464984,-31.826192,6.732418,-25.997187,0.335744,-9.980906,-17.679049,-27.17004,14.424076,35.886595,-3.222073,4.17943,22.348571,12.407134,-2.419702,9.112049,17.715872,-7.163067,-6.24002,-3.356845,-1.680424,4.234007,-11.638458,-16.976882,11.468516,-16.599915,6.936419,-18.374488,-13.113401,-2.311869,19.889701,9.828356,13.311329,-27.242136,-12.839085,-7.581032,-16.934431,10.946252,0.191374,-14.206878,-16.441999,3.750232,20.634609,2.110913,-10.350451,-35.964395,-15.313007,41.977916,lysosomal
-38.293964,0.057779,-5.99976,-42.144639,9.167283,-6.718842,21.560368,-9.344311,-14.875144,37.064578,-9.400483,-0.0121210000000002,0.668567,7.940421,0.00345200000000002,0.810749,13.872123,-19.363859,-5.909446,-9.928551,-0.702237,-23.779698,-19.001771,0.83424,-10.326177,-0.581778,-8.594809,-4.660346,-5.817508,-6.554669,3.327003,-31.67745,8.488423,-12.020469,11.846173,4.51196,-23.634664,-3.893305,6.287067,-9.401008,8.168578,6.095107,12.134542,-7.473351,-2.990715,6.888162,-12.704099,0.48743,-11.748679,15.307719,-18.203801,-15.687161,16.02378,-31.09498,16.618457,-21.554595,12.412719,-4.782626,-7.575824,-27.788822,4.598415,34.851913,1.44691,2.670025,25.35832,12.12225,-0.905019,14.568242,12.195903,-8.685674,-3.699219,-8.013152,-3.061201,3.157245,-5.897858,-21.340336,16.561963,-7.652716,1.330754,-16.37671,-12.38358,-7.126931,15.879985,7.180065,12.729366,-16.543486,-15.041062,-10.048915,-15.796054,13.52809,0.915923,-10.537231,-11.383871,0.0241619999999998,17.446865,4.249483,-8.823245,-35.884233,-10.484866,40.011289,lysosomal
-16.468889,-0.861115,-1.670395,-25.784762,-1.628261,-5.986069,10.956206,-7.014978,-8.205822,21.867849,3.336408,-5.948949,-1.869172,-0.160065,2.574228,1.396966,6.51177,-7.512645,-1.870072,-7.835186,-0.0102840000000001,-7.59985,-15.798251,0.570006,-4.245891,1.043181,-6.910918,-0.381623,-0.0689209999999999,-3.304737,-6.097952,-17.371115,8.164855,-1.46488,10.356641,8.048055,-12.743606,-0.167425,2.357516,-3.557433,5.762655,6.672831,3.539297,-5.850701,0.461833,4.725475,-10.874195,-4.738392,-2.128948,9.244337,-11.888273,-6.958704,10.453861,-18.560034,8.25159,-18.751879,3.44601,-2.19285,-4.403103,-23.845793,1.516461,24.392585,2.07361,-0.222269,16.566802,6.645091,-3.191966,12.531799,11.458831,-7.828452,-1.582206,-5.619646,0.819761,-1.164569,-1.182195,-16.126066,4.361248,-4.152963,-0.52946,-10.795739,-11.914033,0.232714,3.760956,1.993278,8.749475,-6.549864,-10.609144,-4.304548,-10.989491,1.912577,-0.201587,-9.717155,-9.546008,-5.077545,8.685766,9.422658,-4.722065,-21.599911,-6.238094,29.528013,lysosomal
