V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-11.671298,0.970665,1.915696,-12.706625,-1.707634,-0.788233,6.563974,-3.367323,-1.110763,10.853545,-1.373946,-1.957747,-0.363636,3.948317,-3.247463,-1.081959,-0.174523,-7.452665,-1.593052,-6.251628,0.351859,-7.257913,-6.641266,1.237256,-4.006523,2.538506,-1.997134,1.180314,-4.184177,-3.45204,-2.387471,-10.716626,3.968325,-0.512038,3.461221,3.129262,-7.435889,1.337464,4.028642,-0.502025,4.78407,0.652196,-0.149023,1.105928,-2.707191,-0.704365,-1.780598,-1.806804,-2.409495,4.570643,-2.717513,-6.383492,6.030108,-13.091069,5.190028,-12.07407,-0.851319,-1.84088,-2.988251,-9.586029,0.584215,10.736433,-0.497567,0.743658,6.468712,3.282362,1.634862,8.195371,3.116198,-4.760768,-1.412563,1.27944,1.752023,1.698179,-0.151113,-4.508164,5.198458,-0.625379,1.178728,-4.005828,-4.572178,-0.263382,1.308912,1.822516,5.127792,-4.612174,-4.597223,0.111886,-6.146512,0.719521,1.269225,-7.475945,-2.704283,1.010086,3.656742,1.191806,-2.526535,-7.133707,-5.682071,11.566311,peroxisomal
-36.87075,1.956422,-6.189961,-34.660686,6.756663,-4.296859,14.149578,-5.587215,-12.256878,35.051649,-3.224231,-5.252759,-3.451745,10.131311,-5.286353,-2.995734,17.393668,-21.70039,1.29677,-8.288294,4.163213,-24.36009,-14.896892,0.846054,-5.171555,2.93189,-12.696481,0.0420080000000001,-4.939164,-6.170051,-0.614233,-27.321105,7.421099,-3.139781,14.181476,7.512739,-12.677409,1.161188,8.431036,-3.625499,3.168581,7.540512,12.009826,-5.175389,0.975907,-1.15185,-8.657138,2.564245,-10.198297,15.158559,-15.307774,-11.733445,14.69223,-29.425904,12.629177,-23.913675,13.041775,-5.185991,-12.151897,-33.195569,7.214245,32.879993,7.996474,4.681431,13.691509,10.682215,-6.561175,14.881336,13.331508,-9.546768,-6.829321,-1.945575,-3.859428,3.363043,-0.224975,-16.175251,13.646582,-10.379572,8.873535,-9.983057,-13.897654,4.909116,11.948834,8.859908,14.196966,-14.237029,-17.511781,-4.754641,-18.663285,10.425352,-3.231225,-10.94139,-14.150253,0.672758,13.687512,7.538549,-6.052964,-28.74424,-8.296729,39.109661,peroxisomal
-98.445571,-10.271537,13.232387,-90.449883,-17.709417,-14.934239,33.602868,-21.608459,-9.626556,99.480591,-11.578071,-15.205603,-14.830166,14.997991,6.084,2.7263,17.344912,-41.941513,-4.970104,-18.981051,-8.196034,-46.344881,-52.873633,12.276405,-10.012579,-5.935739,-18.60643,3.721001,-12.705702,-30.498938,-11.020811,-72.35541,15.821165,-21.349573,26.911354,31.062202,-37.027152,-6.234483,25.076905,-6.302851,25.943845,27.283721,23.665277,-4.30989,-5.363652,6.743109,-43.762579,-9.011579,-29.521271,29.521281,-24.721914,-42.144722,44.60579,-76.552371,32.0791,-61.082596,10.416241,3.523811,-18.866515,-88.732571,24.958477,94.700524,0.946479,22.845978,48.707763,37.587549,10.925,58.663235,41.488416,-26.883701,-25.044981,6.824789,6.688828,15.63142,-3.351964,-42.337436,38.136574,-20.21555,17.06921,-27.945522,-32.627455,-14.446081,20.113058,10.058411,47.67516,-42.2326,-49.329165,-14.157593,-46.706032,16.635183,21.982496,-53.468629,-20.784421,13.120936,43.860868,10.438973,-28.947657,-66.044832,-33.206877,99.252227,peroxisomal
-27.414601,-0.199098,-4.371468,-28.23578,1.004549,-5.783843,11.511909,-8.203871,-6.639629,19.08938,-9.898682,-2.931976,-1.339256,7.210152,-4.379608,4.525818,11.242751,-8.84773,-5.095722,-7.645864,-1.275873,-15.029847,-14.157573,1.96103,-9.53253,3.804181,-9.55451,-3.723747,-3.009397,-6.247212,-0.790054,-14.92885,-0.875588,-7.664098,7.944846,6.069276,-9.851135,4.38022,5.589253,-3.676137,4.939114,4.895265,10.840172,-0.715893,3.287602,0.359322,-6.070445,1.923399,-1.135751,9.921558,-8.49054,-4.036296,11.092752,-20.958675,3.9129,-14.910031,1.969353,-7.035602,-11.010243,-19.474869,1.54178,16.764493,3.362417,0.153789,19.904298,9.985828,2.261276,8.665957,12.804576,-5.984513,-0.094017,-2.715717,-1.353321,3.039246,0.657451,-13.843201,9.064447,-10.332653,2.19454,-14.247775,-10.832025,-5.002975,10.927929,4.640804,9.138741,-14.294839,-11.695842,-7.606503,-16.171089,6.289715,3.84369,-6.143227,-11.467892,-3.425771,11.483803,-1.924779,-8.446167,-21.751133,-6.399448,23.666541,peroxisomal
-33.437291,-2.274053,-7.393548,-37.109223,7.859859,-6.560686,13.232157,-8.8467,-13.069447,37.486092,-5.304808,-6.124506,-5.010083,10.568463,-2.897446,-1.62434,19.107007,-21.30135,-4.755165,-7.478726,4.886768,-20.903953,-14.719888,1.202491,-4.084838,1.676107,-13.582687,-1.014955,-7.782945,-6.384112,-3.96797,-26.656445,11.668349,-6.328533,14.178784,6.811759,-17.36895,-1.125335,9.243032,-4.615878,3.041938,6.277052,11.162949,1.089781,1.233407,-4.923185,-10.71837,-1.204636,-9.444126,14.431972,-15.42579,-15.819976,15.041832,-30.775058,11.965933,-24.530913,10.353438,-3.73589,-4.662596,-31.389631,7.428806,27.828204,6.460359,0.0712980000000002,16.291044,5.411048,-2.024488,13.257449,10.953863,-9.336437,-7.88374,-0.310461,0.275342,2.468607,0.157757,-18.290944,15.707687,-9.756,8.924461,-15.161416,-13.61514,5.621214,15.754069,8.172869,13.605664,-11.944963,-15.693292,-8.393031,-18.173143,9.45106,-0.916241,-10.090145,-18.990173,1.903841,12.04849,6.992175,-2.279115,-28.255335,-10.022086,39.557856,peroxisomal
-34.975446,-1.767439,1.337957,-36.3264,4.0505,-5.061113,14.242943,-5.115408,-3.77863,36.226712,-6.207679,-7.692609,-6.541257,9.047134,-0.045102,-5.512402,8.035646,-16.546992,-3.672324,-6.647233,-2.396249,-21.885098,-16.766319,6.184003,-4.20642,-1.954198,-7.156074,1.889294,-3.479827,-2.62824,0.237922,-30.263031,15.258462,-3.903359,14.394524,4.728079,-18.859636,-1.198264,13.594918,-5.466027,9.033304,8.104065,10.007227,-3.394772,0.305943,3.232434,-17.944596,-1.694566,-12.746788,12.417378,-17.093701,-15.594791,14.243118,-26.29731,12.75351,-23.647042,1.008503,-2.228838,-7.717494,-29.733917,9.047852,37.583662,2.68861,9.4788,17.255011,11.70909,-2.649645,17.300892,11.961977,-12.548117,-10.181375,-2.457292,1.482029,4.653323,-4.579645,-17.092627,11.071295,-12.701691,6.016189,-12.554852,-3.297172,-1.063603,12.753657,5.709262,13.75716,-14.651096,-17.909435,-2.411247,-15.594485,5.674916,11.283515,-18.477058,-12.696943,1.699077,15.040612,8.025578,-11.090895,-26.855826,-14.394166,34.068414,peroxisomal
-35.111522,-0.263061,-4.109374,-33.831503,5.87575,-4.106603,16.53524,-5.519534,-14.334711,35.398358,-4.201605,-6.679727,-3.397787,9.395718,-4.942158,-4.39901,18.584101,-18.770203,-1.75008,-9.93501,6.640623,-21.677414,-15.043502,3.547004,-1.241576,1.294893,-11.547893,-3.009546,-4.779582,-11.468948,-2.54071,-26.955786,9.267749,-5.273,13.274129,10.568974,-12.731234,1.931577,6.516523,-4.292227,8.066756,8.261614,11.840942,-3.986793,-1.244385,-4.189201,-11.47276,1.024602,-7.226045,15.876431,-13.132508,-15.152479,17.940905,-30.811823,8.995392,-22.965438,10.381707,-6.935148,-7.606861,-32.166778,8.443605,31.486927,7.787004,0.043639,18.192884,8.857558,-3.867936,14.296028,6.289701,-7.419666,-6.023796,-4.696188,-1.807627,4.887232,-0.041608,-15.699476,14.145708,-6.999289,7.354569,-13.067406,-15.412174,5.927426,10.950004,8.842808,14.690115,-15.029555,-15.370707,-7.112625,-20.968996,2.640616,-2.581238,-11.791301,-15.039117,1.130716,11.696761,3.732358,-7.502438,-29.517227,-5.564825,42.560698,peroxisomal
-35.710974,-5.518966,5.311257,-32.243609,-9.610075,-4.110201,15.898463,-4.249926,-3.107313,34.823711,-1.95977,-13.280609,-2.039444,0.626058,3.572835,-1.498784,-0.631368,-13.789303,2.271443,-9.004298,0.503241,-17.453164,-15.655431,8.400092,-6.986167,-5.279373,-6.813921,-1.360532,-4.451379,-10.015145,-1.628301,-24.708864,7.223838,-6.282623,11.539921,7.762616,-17.512747,-4.159355,10.883237,-0.590153,11.432456,4.628278,8.731831,-4.521425,-6.467072,3.789017,-10.202787,-2.171175,-12.895583,11.268566,-6.879645,-19.58112,18.978533,-28.623358,16.401541,-23.293053,-3.965292,2.203846,-9.07749,-29.209197,9.144029,40.117361,-0.713988,13.206198,17.51201,19.408359,-0.481453,15.509225,17.785594,-8.115619,-18.131874,1.419227,6.692954,6.352565,-6.176039,-14.70563,11.19597,-9.552343,5.894049,-7.213173,-8.230647,-6.410034,8.346201,4.649034,13.017452,-16.070976,-20.718008,-3.535314,-9.871383,2.294983,8.659187,-26.232783,-15.42717,2.868456,13.455344,9.310338,-9.243066,-22.735209,-19.993182,42.03074,peroxisomal
-37.433458,-5.448315,4.273441,-33.394731,-4.786071,-9.750552,16.121842,-9.953196,-0.890574,44.693594,-1.974155,-7.099221,-4.781884,8.476512,-3.735669,5.279965,15.208537,-20.376587,-2.420481,-11.981542,-3.32769,-19.54874,-20.402991,2.145221,-4.692768,-1.674121,-6.620963,-2.492454,-2.412118,-13.339517,-1.828211,-31.225514,11.200152,-5.799976,9.043079,6.605025,-12.971094,0.0348049999999999,6.550344,0.798963,7.280999,7.915142,7.911369,1.403509,3.569026,6.598056,-14.867408,-3.969533,-9.822408,15.745836,-8.486317,-14.274639,18.197714,-26.688403,16.231211,-30.36948,9.839064,2.537917,-7.422388,-39.799075,0.0445109999999998,37.30322,0.0952300000000001,16.598995,17.218834,10.402185,4.194917,26.493249,20.685197,-13.566243,-6.949803,1.132878,3.718845,4.756112,0.570693,-14.702651,22.189994,-9.201618,8.201691,-19.683219,-18.392258,1.84386,3.287074,6.950658,18.362364,-20.929963,-26.9194,-7.19244,-22.485289,5.257693,5.263731,-13.305026,-4.79556,6.238079,22.878416,2.705539,-8.587997,-19.502782,-11.371956,36.594468,peroxisomal
-22.447199,-3.029997,6.917415,-22.304959,-6.955179,-4.966767,6.547384,-4.386338,-0.521135,18.491443,-1.238952,-6.98814,-6.091157,2.852127,0.474196,0.614112,-1.237387,-6.035435,-1.366251,-7.100368,-1.637416,-11.00981,-12.148763,0.00966299999999993,0.494923,1.864484,-2.786801,0.126514,-4.60506,-9.344117,-8.24601,-13.491759,7.97478,-3.505196,3.277333,6.069816,-7.772219,-3.742544,4.563416,-1.842354,3.382899,5.543505,4.268062,0.217422,-4.33367,1.168691,-3.486204,-2.966204,-2.441723,5.24476,-2.501484,-13.169684,9.311053,-17.723808,10.832,-18.381364,1.312538,-1.28089,-3.935871,-21.961855,-0.408927,18.705936,-0.877251,6.286228,10.903961,7.070416,0.182424,19.159431,3.801532,-9.756035,-6.142206,-0.470325,6.19629,2.916876,0.178288,-10.831315,6.218041,-2.971675,5.667706,-5.052805,-9.076293,-2.046943,-4.145298,1.687789,11.235595,-7.774621,-12.783561,-0.361135,-10.590814,-3.076614,5.710697,-15.802009,0.249716,4.437079,6.972289,3.607085,-7.443294,-6.765502,-7.567725,24.724456,peroxisomal
