V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
-19.191566,-4.324836,-1.308142,-17.158707,1.524329,-3.74879,8.17575,-3.946227,-3.86022,9.16083,-4.731881,1.290786,1.666679,0.227533,-0.04393,0.996343,5.805893,-5.840188,-4.987918,-5.640856,1.129083,-1.620635,-11.188507,0.060032,-5.22915,-0.897625,-1.557309,-2.936102,2.64683,-11.330822,-3.764443,-10.685204,0.610184,-5.751914,3.656658,5.329389,-7.658031,0.835918,3.239702,-6.135647,3.024383,3.675878,0.987067,2.843933,-1.528936,3.688833,-2.392223,3.041121,2.188696,3.244964,-4.486175,-3.631822,9.75336,-11.000899,2.691798,-9.219844,0.6033,-2.249797,-2.926786,-12.269377,1.642656,18.133244,-1.013659,1.598468,13.677891,5.619389,1.364002,10.090603,5.458558,-6.2696,-1.205222,0.124033,1.378106,2.945873,-1.907132,-2.371064,6.384114,-4.90912,3.381419,-5.120079,-6.912343,-1.265615,0.132253,5.164239,13.182245,-7.328176,-5.002527,-4.919504,-8.124656,4.652845,5.118564,-7.501413,-4.872532,-0.792078,8.332319,1.34813,-4.186639,-11.754459,-4.247034,14.679511,plasma_membrane
-6.892883,1.028579,-2.174233,-12.492296,2.531279,-1.174566,1.005142,-3.664797,-3.17318,3.736259,-3.686922,-1.251972,-0.886608,0.0755549999999999,-2.94226,0.525055,3.411742,-3.096791,-1.277313,-0.397487,-0.447806,-5.277277,-5.080708,0.909607,-3.636177,-1.658849,-1.801242,-2.569325,2.472905,-5.799475,0.587903,-4.497497,0.011224,-3.731063,3.377733,2.534271,-5.41265,1.711422,1.092734,-4.971886,1.696401,-2.927081,3.247114,2.730601,0.14937,1.24454,-1.130666,-2.340109,0.354337,1.92395,-2.98151,-0.235812,6.624482,-7.643646,-1.631865,-3.909431,0.909033,-3.921061,-2.098384,-1.697183,-1.928636,4.944181,-1.431207,-2.086578,7.409322,4.506586,-0.824443,4.712965,3.513733,-2.553664,-1.5211,-0.517183,2.110277,0.453438,0.244537,-3.580528,2.489917,-2.217047,2.585246,-0.736756,-1.618276,-0.499502,4.18189,1.243168,5.243155,-1.953558,-1.159224,-0.310931,-2.603422,-0.523985,3.049885,-4.075497,-3.21153,-3.348508,1.896891,-1.982636,-2.71458,-4.487601,-1.440485,10.836294,plasma_membrane
-35.9387,-3.843481,-8.786649,-41.629199,-1.751985,-6.583814,14.764684,-13.038711,-4.818452,20.543753,-8.240862,-2.199789,-2.199966,5.56743,-2.58917,-1.718217,8.654246,-6.436233,-3.351,-8.152849,-2.128967,-13.682413,-22.673658,6.476962,-11.718364,-2.80021,-3.526279,-8.603858,2.076167,-13.476122,-2.941938,-22.150516,0.755758,-8.787909,12.66871,11.078823,-25.136504,2.438188,6.348362,-16.61619,14.598654,1.369003,7.76005,-1.047775,-8.422752,2.948234,-12.891865,0.133222,-2.483201,7.985784,-16.942253,-9.649587,13.496434,-33.784479,-0.164058,-22.185397,1.478076,-6.64125,-6.95322,-13.134669,1.098145,33.302052,2.076768,2.817218,28.074781,8.245173,-3.055827,12.311638,9.754304,-9.294397,-6.692307,2.194815,-1.589228,0.156523,-2.613561,-12.914728,10.442331,-8.433001,5.89751,-10.603112,-13.502748,-6.171748,14.242759,9.689997,19.484876,-13.876458,-9.184046,-6.798231,-9.91306,2.344809,13.653199,-19.761858,-16.222121,-2.997126,13.404421,2.815864,-9.951391,-28.927337,-8.508086,39.006945,plasma_membrane
-29.100419,1.119595,-1.666912,-38.203134,3.070769,-7.387145,15.680014,-14.365619,-8.811255,9.909074,-6.693787,2.43268,-0.218002,2.235149,-7.157696,2.265479,9.744651,-3.625124,-2.22478,-13.28531,-4.460793,-8.206367,-24.601851,-9.858644,-9.600025,5.127387,-1.259555,-11.694715,9.321775,-17.336507,-7.501854,-4.672395,14.676236,-11.714375,3.519536,13.558586,-18.388447,2.310202,-1.969121,-13.229828,2.837232,3.431567,4.121507,4.928371,-12.001691,6.868817,-2.150414,-5.430012,10.735412,12.24067,-11.689778,-3.801251,29.364185,-27.117454,-0.689383,-26.653506,-0.972402,-9.200179,-6.488466,-22.968892,-16.198268,16.015488,3.50996,-6.193772,28.695809,10.158082,3.1003,15.13732,9.158931,-19.609475,4.106073,4.537069,8.674782,-3.313695,14.392953,-13.898346,9.600974,-0.688966,11.653943,-12.687936,-19.09632,1.091351,-0.154828,4.905923,20.911825,-15.080327,-6.424808,-13.751549,-18.596991,1.034785,0.560631,-19.598615,-10.81555,-11.278774,3.935044,-7.243254,-13.316378,-15.962574,-3.835852,43.274819,plasma_membrane
-18.829973,-5.53046,-0.698966,-15.824566,-5.395018,-2.044022,6.868693,-4.755579,-3.481315,17.425827,-1.436661,-5.113671,-2.345977,3.243184,0.030307,-1.456598,-1.725969,-3.027061,3.704435,-3.460656,-6.591176,-8.78401,-4.753957,5.244131,-5.590398,-6.69262,-0.793994,0.851642,-0.907397,-0.820348,0.487632,-14.432231,2.051326,-7.393569,6.844747,5.899833,-12.126181,0.919243,8.121494,-2.568518,8.391291,6.289773,3.698482,-2.551712,0.251246,-0.541698,-9.569919,0.562984,-7.69403,0.513351,-5.343274,-10.064741,2.00683,-15.933991,4.755588,-5.24899,-3.712204,1.091498,-2.717981,-9.678262,6.447809,21.634089,-5.786446,7.46489,7.844206,7.652121,-0.158057,8.835458,5.37343,1.0106,-7.839729,-2.405844,-0.745276,-0.0187390000000001,-7.182352,-5.390981,-1.446482,-8.336525,3.542104,-1.408551,1.009482,-3.573323,10.281404,6.350468,6.581768,-9.895983,-7.098895,4.02485,-3.051285,-5.54574,9.842644,-14.771312,-8.00969,3.93717,3.922744,4.003989,-5.946498,-12.208637,-9.856812,20.380717,plasma_membrane
-39.559872,-2.288881,-0.236412,-43.12548,-1.888449,-10.940001,13.012529,-9.227663,-14.161049,33.69799,-6.398287,-5.396773,-2.827375,8.682602,0.346446,2.779362,9.687081,-7.246014,-5.523523,-7.994543,-1.384162,-11.41846,-26.005347,3.318442,-12.524166,-5.741499,-12.053483,-0.638443,2.698397,-15.177277,2.397711,-31.645758,6.648575,-10.253826,14.266005,5.321404,-31.555256,-4.832336,6.586606,-13.173987,13.178554,6.808339,12.284684,-6.798589,-3.295009,7.995917,-19.027405,0.963815,-5.565703,12.255783,-28.912862,-15.835388,14.078102,-36.20914,5.059123,-25.491368,2.99601,-8.805782,-9.262297,-31.532831,1.503267,44.442787,-6.277374,6.085126,30.34592,14.446229,0.861235,19.038634,17.709425,-13.372952,-11.654549,0.821375,5.639962,3.710678,1.205665,-17.831088,12.797536,-10.897258,14.352845,-5.577904,-16.290812,-2.770626,11.386057,11.852947,25.244577,-14.622526,-12.314673,-4.206145,-14.937618,7.315053,14.824862,-19.908747,-14.174058,0.325536,19.38718,4.205522,-7.38624,-28.146979,-22.66598,50.203013,plasma_membrane
-15.261685,3.043206,-0.338041,-18.172381,3.432893,-2.99204,7.830052,-5.630061,-4.440196,11.906405,-4.426439,-7.215693,-3.155601,2.410937,0.142497,0.948726,3.789402,-6.115655,-2.257453,-7.180861,0.839629,-11.356398,-13.656683,2.769959,-1.729779,3.865694,-4.371265,-2.239139,1.182067,-4.261027,-3.075961,-12.383963,8.656028,-2.490943,4.575898,4.795635,-9.390507,1.339225,2.972821,-10.740864,4.892006,4.398811,4.682371,-2.605949,-1.505251,-2.362265,-6.870588,-2.290702,-0.590192,3.567562,-6.140749,-6.89176,7.69563,-14.159388,1.823538,-14.871372,5.820439,-4.498578,-4.454877,-13.110257,1.739139,14.488335,1.642127,-4.945296,11.088844,4.362027,-4.992639,11.100019,3.72794,-7.217588,-4.829593,0.785258,2.077335,2.547822,-0.208211,-9.181573,8.073805,-4.681808,4.653244,-6.34581,-4.952045,-0.850608,1.306648,6.590413,10.145328,-5.272901,-7.461199,-1.703466,-6.620831,1.869851,-1.426329,-5.524576,-6.14675,-2.713581,3.586314,0.151857,-5.864753,-11.675418,-4.405844,23.419608,plasma_membrane
-42.983211,-2.325268,-6.719357,-41.902372,-2.366145,-4.504308,16.79385,-9.764975,-11.377152,25.543701,-8.270558,-6.847876,-6.110598,2.636158,1.923661,-0.455122,9.900502,-7.994815,-3.497802,-8.464064,-2.069982,-20.981377,-23.951065,4.026851,-16.201986,-3.023003,-3.700578,-3.36643,3.660527,-11.066186,0.606789,-29.691347,9.841363,-6.071083,12.20771,13.556453,-33.226558,0.742302,11.106178,-11.478996,13.261342,7.008933,9.738059,-3.366709,-6.182654,9.069629,-13.062882,-2.950682,-6.857135,10.884672,-22.845132,-14.702189,17.463633,-36.389663,7.386119,-25.310001,3.380187,-6.506044,-6.367698,-26.834129,1.707746,35.005548,-0.0696299999999999,7.027278,21.239491,10.664153,-0.281839,20.285578,12.260026,-13.706583,-15.26655,-3.714527,6.271579,3.227922,-6.593676,-15.612612,11.82818,-10.64124,12.441621,-23.342354,-9.032854,-5.256032,10.520597,8.821418,20.396785,-21.032991,-16.098219,-2.86072,-13.341779,4.29568,14.478234,-21.57518,-13.812548,-3.689677,12.66215,3.378278,-14.489918,-27.185214,-17.9234,49.07779,plasma_membrane
-29.597545,1.969809,-1.743637,-35.228377,1.28682,-5.906881,12.75742,-15.358419,-1.156012,21.462547,-5.442991,-3.780904,-5.777145,0.418068,1.817986,-3.987967,1.169164,-1.358894,-6.327115,-10.899705,-6.980118,-11.108633,-22.360885,5.095535,-9.499171,-4.662115,-3.3336,-0.352995,1.096928,-9.346688,-0.847237,-17.652813,13.823418,-4.144104,10.036876,11.414969,-29.884491,-2.055722,4.81339,-12.474313,5.696575,0.68411,2.97321,-2.388652,-5.720066,6.695313,-11.258677,0.113777,-2.92254,7.599695,-18.823298,-13.81119,11.992458,-27.919882,2.412002,-19.823957,-4.018404,-6.494654,-5.981747,-17.038375,-5.684372,27.846717,-6.835207,9.447914,16.6695,10.635258,2.259951,15.446718,7.586777,-13.360805,-10.713774,-2.179044,10.146509,0.232902,-6.592638,-13.737,10.884277,-6.179512,10.321858,-16.094717,-3.58183,-0.106774,6.917229,10.752074,17.090827,-14.714832,-13.719723,7.882375,-6.711246,-4.954508,9.09463,-27.239866,-8.281872,-5.607306,5.411799,0.420232,-14.347165,-13.142969,-16.679968,41.179147,plasma_membrane
-32.973106,1.464537,-4.385235,-37.670222,4.395368,-2.744667,17.138873,-10.667233,-6.992479,18.131515,-9.011759,-4.401105,-5.945894,6.501394,-4.726052,5.341725,7.785084,-7.710226,0.573215,-12.817744,-5.293052,-13.041092,-18.058423,0.456299,-13.821976,-6.648944,-2.772851,-12.381388,5.596456,-15.457035,-2.372666,-23.996339,9.000023,-9.792739,15.638627,15.167496,-24.829024,3.909189,2.182926,-16.396284,12.935677,-0.916526,11.853885,0.505146,-0.200025,6.830357,-8.628426,-0.982837,3.922193,5.613633,-17.972199,-9.719904,10.945008,-33.282693,5.197886,-19.354582,-0.41068,-9.939013,-9.771637,-16.727301,-8.693214,27.093653,-2.392554,0.0520559999999998,18.585781,6.732286,0.081748,14.049057,7.674311,-10.276386,-3.469972,-0.876642,3.80102,-3.530313,-2.845253,-14.905568,10.105646,-8.550408,9.106719,-12.278209,-8.056478,-2.127737,17.560016,15.171075,16.514641,-17.010347,-13.984461,1.411643,-7.971761,-7.578279,11.745025,-15.488064,-16.202451,-10.458042,7.734928,1.624432,-15.91565,-18.650119,-14.06191,38.128183,plasma_membrane
